TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Birmingham City FC,H,1,1,-,1,1,Ipswich Town FC,D,'08/08/2025
Birmingham City FC,A,4,2,-,1,3,Blackburn Rovers FC,W,'08/16/2025
Birmingham City FC,H,7,1,-,0,4,Oxford United FC,W,'08/23/2025
Birmingham City FC,A,7,0,-,2,4,Leicester City FC,L,'08/29/2025
Birmingham City FC,A,7,0,-,1,4,Stoke City FC,L,'09/13/2025
Birmingham City FC,H,10,1,-,0,5,Swansea City AFC,W,'09/20/2025
Birmingham City FC,A,10,0,-,3,5,Coventry City FC,L,'09/27/2025
Birmingham City FC,H,11,2,-,2,7,Sheffield Wednesday FC,D,'09/30/2025
Birmingham City FC,A,12,1,-,1,8,Wrexham AFC,D,'10/03/2025
Birmingham City FC,H,12,2,-,3,10,Hull City AFC,L,'10/18/2025
Birmingham City FC,A,15,1,-,0,11,Preston North End FC,W,'10/21/2025
Birmingham City FC,A,15,0,-,1,11,Bristol City FC,L,'10/25/2025
Birmingham City FC,H,18,4,-,0,15,Portsmouth FC,W,'11/01/2025
Birmingham City FC,H,21,4,-,0,19,Millwall FC,W,'11/04/2025
Birmingham City FC,A,21,1,-,2,20,Middlesbrough FC,L,'11/08/2025
Birmingham City FC,H,24,4,-,1,24,Norwich City FC,W,'11/22/2025
Birmingham City FC,A,25,1,-,1,25,West Bromwich Albion FC,D,'11/26/2025
Birmingham City FC,H,28,2,-,1,27,Watford FC,W,'12/01/2025
Birmingham City FC,A,28,1,-,3,28,Southampton FC,L,'12/06/2025
Birmingham City FC,A,28,1,-,2,29,Queens Park Rangers FC,L,'12/09/2025
Birmingham City FC,H,29,1,-,1,30,Charlton Athletic FC,D,'12/13/2025
Birmingham City FC,A,29,0,-,3,30,Sheffield United FC,L,'12/20/2025
Birmingham City FC,H,30,1,-,1,31,Derby County FC,D,'12/26/2025
Birmingham City FC,H,31,1,-,1,32,Southampton FC,D,'12/29/2025
Birmingham City FC,A,31,0,-,3,32,Watford FC,L,'01/01/2026
Birmingham City FC,H,34,3,-,2,35,Coventry City FC,W,'01/04/2026
Birmingham City FC,A,34,-,-,-,35,Swansea City AFC,,'01/17/2026
Birmingham City FC,A,34,-,-,-,35,Sheffield Wednesday FC,,'01/20/2026
Birmingham City FC,H,34,-,-,-,35,Stoke City FC,,'01/24/2026
Birmingham City FC,A,34,-,-,-,35,Oxford United FC,,'01/31/2026
Birmingham City FC,H,34,-,-,-,35,Leicester City FC,,'02/07/2026
Birmingham City FC,H,34,-,-,-,35,West Bromwich Albion FC,,'02/14/2026
Birmingham City FC,A,34,-,-,-,35,Norwich City FC,,'02/21/2026
Birmingham City FC,A,34,-,-,-,35,Millwall FC,,'02/25/2026
Birmingham City FC,H,34,-,-,-,35,Middlesbrough FC,,'03/02/2026
Birmingham City FC,A,34,-,-,-,35,Charlton Athletic FC,,'03/07/2026
Birmingham City FC,H,34,-,-,-,35,Queens Park Rangers FC,,'03/10/2026
Birmingham City FC,H,34,-,-,-,35,Sheffield United FC,,'03/14/2026
Birmingham City FC,A,34,-,-,-,35,Derby County FC,,'03/21/2026
Birmingham City FC,H,34,-,-,-,35,Blackburn Rovers FC,,'04/03/2026
Birmingham City FC,A,34,-,-,-,35,Ipswich Town FC,,'04/06/2026
Birmingham City FC,H,34,-,-,-,35,Wrexham AFC,,'04/11/2026
Birmingham City FC,A,34,-,-,-,35,Hull City AFC,,'04/18/2026
Birmingham City FC,H,34,-,-,-,35,Preston North End FC,,'04/22/2026
Birmingham City FC,H,34,-,-,-,35,Bristol City FC,,'04/25/2026
Birmingham City FC,A,34,-,-,-,35,Portsmouth FC,,'05/02/2026
