TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Blackburn Rovers FC,A,0,0,-,1,0,West Bromwich Albion FC,L,'08/09/2025
Blackburn Rovers FC,H,0,1,-,2,1,Birmingham City FC,L,'08/16/2025
Blackburn Rovers FC,A,3,3,-,0,4,Hull City AFC,W,'08/23/2025
Blackburn Rovers FC,H,3,0,-,2,4,Norwich City FC,L,'08/30/2025
Blackburn Rovers FC,A,6,1,-,0,5,Watford FC,W,'09/13/2025
Blackburn Rovers FC,A,6,0,-,3,5,Charlton Athletic FC,L,'09/27/2025
Blackburn Rovers FC,H,6,1,-,2,6,Swansea City AFC,L,'09/30/2025
Blackburn Rovers FC,H,7,1,-,1,7,Stoke City FC,D,'10/04/2025
Blackburn Rovers FC,A,7,0,-,2,7,Coventry City FC,L,'10/18/2025
Blackburn Rovers FC,H,7,1,-,3,8,Sheffield United FC,L,'10/21/2025
Blackburn Rovers FC,H,10,2,-,1,10,Southampton FC,W,'10/25/2025
Blackburn Rovers FC,A,13,2,-,0,12,Leicester City FC,W,'11/01/2025
Blackburn Rovers FC,A,16,1,-,0,13,Bristol City FC,W,'11/04/2025
Blackburn Rovers FC,H,16,1,-,2,14,Derby County FC,L,'11/08/2025
Blackburn Rovers FC,A,19,2,-,1,16,Preston North End FC,W,'11/21/2025
Blackburn Rovers FC,H,19,0,-,1,16,Queens Park Rangers FC,L,'11/26/2025
Blackburn Rovers FC,A,20,1,-,1,17,Wrexham AFC,D,'11/29/2025
Blackburn Rovers FC,H,21,1,-,1,18,Ipswich Town FC,D,'12/02/2025
Blackburn Rovers FC,H,22,1,-,1,19,Oxford United FC,D,'12/09/2025
Blackburn Rovers FC,A,22,1,-,2,20,Portsmouth FC,L,'12/13/2025
Blackburn Rovers FC,H,25,2,-,0,22,Millwall FC,W,'12/20/2025
Blackburn Rovers FC,A,26,0,-,0,22,Middlesbrough FC,D,'12/26/2025
Blackburn Rovers FC,A,27,0,-,0,22,Sheffield Wednesday FC,D,'12/29/2025
Blackburn Rovers FC,H,27,0,-,2,22,Wrexham AFC,L,'01/01/2026
Blackburn Rovers FC,H,28,2,-,2,24,Charlton Athletic FC,D,'01/04/2026
Blackburn Rovers FC,A,28,0,-,3,24,Ipswich Town FC,L,'01/17/2026
Blackburn Rovers FC,A,28,1,-,3,25,Swansea City AFC,L,'01/20/2026
Blackburn Rovers FC,H,29,1,-,1,26,Watford FC,D,'01/24/2026
Blackburn Rovers FC,H,29,0,-,1,26,Hull City AFC,L,'01/31/2026
Blackburn Rovers FC,H,32,1,-,0,27,Sheffield Wednesday FC,W,'02/03/2026
Blackburn Rovers FC,A,32,-,-,-,27,Norwich City FC,,'02/07/2026
Blackburn Rovers FC,A,32,-,-,-,27,Queens Park Rangers FC,,'02/14/2026
Blackburn Rovers FC,H,32,-,-,-,27,Preston North End FC,,'02/20/2026
Blackburn Rovers FC,H,32,-,-,-,27,Bristol City FC,,'02/24/2026
Blackburn Rovers FC,A,32,-,-,-,27,Derby County FC,,'02/28/2026
Blackburn Rovers FC,H,32,-,-,-,27,Portsmouth FC,,'03/07/2026
Blackburn Rovers FC,A,32,-,-,-,27,Oxford United FC,,'03/11/2026
Blackburn Rovers FC,A,32,-,-,-,27,Millwall FC,,'03/14/2026
Blackburn Rovers FC,H,32,-,-,-,27,Middlesbrough FC,,'03/21/2026
Blackburn Rovers FC,A,32,-,-,-,27,Birmingham City FC,,'04/03/2026
Blackburn Rovers FC,H,32,-,-,-,27,West Bromwich Albion FC,,'04/06/2026
Blackburn Rovers FC,A,32,-,-,-,27,Stoke City FC,,'04/11/2026
Blackburn Rovers FC,H,32,-,-,-,27,Coventry City FC,,'04/18/2026
Blackburn Rovers FC,A,32,-,-,-,27,Sheffield United FC,,'04/22/2026
Blackburn Rovers FC,A,32,-,-,-,27,Southampton FC,,'04/25/2026
Blackburn Rovers FC,H,32,-,-,-,27,Leicester City FC,,'05/02/2026
