TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Coventry City FC,H,1,0,-,0,0,Hull City AFC,D,'08/09/2025
Coventry City FC,A,4,5,-,3,5,Derby County FC,W,'08/16/2025
Coventry City FC,H,7,7,-,1,12,Queens Park Rangers FC,W,'08/23/2025
Coventry City FC,A,8,2,-,2,14,Oxford United FC,D,'08/30/2025
Coventry City FC,H,9,1,-,1,15,Norwich City FC,D,'09/13/2025
Coventry City FC,A,10,0,-,0,15,Leicester City FC,D,'09/20/2025
Coventry City FC,H,13,3,-,0,18,Birmingham City FC,W,'09/27/2025
Coventry City FC,A,16,4,-,0,22,Millwall FC,W,'10/01/2025
Coventry City FC,A,19,5,-,0,27,Sheffield Wednesday FC,W,'10/04/2025
Coventry City FC,H,22,2,-,0,29,Blackburn Rovers FC,W,'10/18/2025
Coventry City FC,A,25,2,-,1,31,Portsmouth FC,W,'10/21/2025
Coventry City FC,H,28,3,-,1,34,Watford FC,W,'10/25/2025
Coventry City FC,A,28,2,-,3,36,Wrexham AFC,L,'10/31/2025
Coventry City FC,H,31,3,-,1,39,Sheffield United FC,W,'11/04/2025
Coventry City FC,A,34,1,-,0,40,Stoke City FC,W,'11/08/2025
Coventry City FC,H,37,3,-,2,43,West Bromwich Albion FC,W,'11/22/2025
Coventry City FC,A,40,4,-,2,47,Middlesbrough FC,W,'11/25/2025
Coventry City FC,H,43,3,-,1,50,Charlton Athletic FC,W,'11/29/2025
Coventry City FC,A,43,0,-,3,50,Ipswich Town FC,L,'12/06/2025
Coventry City FC,A,44,1,-,1,51,Preston North End FC,D,'12/09/2025
Coventry City FC,H,47,1,-,0,52,Bristol City FC,W,'12/13/2025
Coventry City FC,A,48,1,-,1,53,Southampton FC,D,'12/20/2025
Coventry City FC,H,51,1,-,0,54,Swansea City AFC,W,'12/26/2025
Coventry City FC,H,51,0,-,2,54,Ipswich Town FC,L,'12/29/2025
Coventry City FC,A,52,1,-,1,55,Charlton Athletic FC,D,'01/01/2026
Coventry City FC,A,52,2,-,3,57,Birmingham City FC,L,'01/04/2026
Coventry City FC,H,55,2,-,1,59,Leicester City FC,W,'01/17/2026
Coventry City FC,H,58,2,-,1,61,Millwall FC,W,'01/20/2026
Coventry City FC,A,58,1,-,2,62,Norwich City FC,L,'01/26/2026
Coventry City FC,A,58,1,-,2,63,Queens Park Rangers FC,L,'01/31/2026
Coventry City FC,H,58,-,-,-,63,Oxford United FC,,'02/07/2026
Coventry City FC,H,58,-,-,-,63,Middlesbrough FC,,'02/16/2026
Coventry City FC,A,58,-,-,-,63,West Bromwich Albion FC,,'02/21/2026
Coventry City FC,A,58,-,-,-,63,Sheffield United FC,,'02/25/2026
Coventry City FC,H,58,-,-,-,63,Stoke City FC,,'02/28/2026
Coventry City FC,A,58,-,-,-,63,Bristol City FC,,'03/07/2026
Coventry City FC,H,58,-,-,-,63,Preston North End FC,,'03/11/2026
Coventry City FC,H,58,-,-,-,63,Southampton FC,,'03/14/2026
Coventry City FC,A,58,-,-,-,63,Swansea City AFC,,'03/21/2026
Coventry City FC,H,58,-,-,-,63,Derby County FC,,'04/03/2026
Coventry City FC,A,58,-,-,-,63,Hull City AFC,,'04/06/2026
Coventry City FC,H,58,-,-,-,63,Sheffield Wednesday FC,,'04/11/2026
Coventry City FC,A,58,-,-,-,63,Blackburn Rovers FC,,'04/18/2026
Coventry City FC,H,58,-,-,-,63,Portsmouth FC,,'04/21/2026
Coventry City FC,H,58,-,-,-,63,Wrexham AFC,,'04/25/2026
Coventry City FC,A,58,-,-,-,63,Watford FC,,'05/02/2026
