TEAM,H/A,PTS,SCORE,,,PTS,OPPONENT,W/D/L,DATE
Derby County FC,A,0,1,-,3,1,Stoke City FC,L,08/09/2025
Derby County FC,H,0,3,-,5,4,Coventry City FC,L,08/16/2025
Derby County FC,H,1,1,-,1,5,Bristol City FC,D,08/22/2025
Derby County FC,A,2,2,-,2,7,Ipswich Town FC,D,08/30/2025
Derby County FC,A,5,1,-,0,8,West Bromwich Albion FC,W,09/13/2025
Derby County FC,H,5,0,-,1,8,Preston North End FC,L,09/20/2025
Derby County FC,A,6,1,-,1,9,Wrexham AFC,D,09/27/2025
Derby County FC,H,7,1,-,1,10,Charlton Athletic FC,D,09/30/2025
Derby County FC,H,8,1,-,1,11,Southampton FC,D,10/04/2025
Derby County FC,A,8,0,-,1,11,Oxford United FC,L,10/18/2025
Derby County FC,H,11,1,-,0,12,Norwich City FC,W,10/21/2025
Derby County FC,H,14,1,-,0,13,Queens Park Rangers FC,W,10/25/2025
Derby County FC,A,17,3,-,1,16,Sheffield United FC,W,11/01/2025
Derby County FC,H,20,2,-,1,18,Hull City AFC,W,11/04/2025
Derby County FC,A,23,2,-,1,20,Blackburn Rovers FC,W,11/08/2025
Derby County FC,H,23,2,-,3,22,Watford FC,L,11/22/2025
Derby County FC,A,26,2,-,1,24,Swansea City AFC,W,11/25/2025
Derby County FC,A,26,1,-,2,25,Middlesbrough FC,L,11/29/2025
Derby County FC,H,26,1,-,3,26,Leicester City FC,L,12/06/2025
Derby County FC,H,27,1,-,1,27,Millwall FC,D,12/10/2025
Derby County FC,A,30,3,-,0,30,Sheffield Wednesday FC,W,12/15/2025
Derby County FC,H,31,1,-,1,31,Portsmouth FC,D,12/20/2025
Derby County FC,A,32,1,-,1,32,Birmingham City FC,D,12/26/2025
Derby County FC,A,32,1,-,2,33,Leicester City FC,L,12/29/2025
Derby County FC,H,35,1,-,0,34,Middlesbrough FC,W,01/01/2026
Derby County FC,H,35,1,-,2,35,Wrexham AFC,L,01/04/2026
Derby County FC,A,35,-,-,-,35,Preston North End FC,,01/17/2026
Derby County FC,A,35,-,-,-,35,Charlton Athletic FC,,01/20/2026
Derby County FC,H,35,-,-,-,35,West Bromwich Albion FC,,01/23/2026
Derby County FC,A,35,-,-,-,35,Bristol City FC,,01/30/2026
Derby County FC,H,35,-,-,-,35,Ipswich Town FC,,02/07/2026
Derby County FC,H,35,-,-,-,35,Swansea City AFC,,02/14/2026
Derby County FC,A,35,-,-,-,35,Watford FC,,02/21/2026
Derby County FC,A,35,-,-,-,35,Hull City AFC,,02/24/2026
Derby County FC,H,35,-,-,-,35,Blackburn Rovers FC,,02/28/2026
Derby County FC,H,35,-,-,-,35,Sheffield Wednesday FC,,03/07/2026
Derby County FC,A,35,-,-,-,35,Millwall FC,,03/10/2026
Derby County FC,A,35,-,-,-,35,Portsmouth FC,,03/14/2026
Derby County FC,H,35,-,-,-,35,Birmingham City FC,,03/21/2026
Derby County FC,A,35,-,-,-,35,Coventry City FC,,04/03/2026
Derby County FC,H,35,-,-,-,35,Stoke City FC,,04/06/2026
Derby County FC,A,35,-,-,-,35,Southampton FC,,04/11/2026
Derby County FC,H,35,-,-,-,35,Oxford United FC,,04/18/2026
Derby County FC,A,35,-,-,-,35,Norwich City FC,,04/21/2026
Derby County FC,A,35,-,-,-,35,Queens Park Rangers FC,,04/25/2026
Derby County FC,H,35,-,-,-,35,Sheffield United FC,,05/02/2026
