TEAM,H/A,PTS,SCORE,,,PTS,OPPONENT,W/D/L,DATE
Hull City AFC,A,1,0,-,0,0,Coventry City FC,D,08/09/2025
Hull City AFC,H,4,3,-,2,3,Oxford United FC,W,08/17/2025
Hull City AFC,H,4,0,-,3,3,Blackburn Rovers FC,L,08/23/2025
Hull City AFC,A,4,2,-,4,5,Bristol City FC,L,08/30/2025
Hull City AFC,A,5,2,-,2,7,Swansea City AFC,D,09/13/2025
Hull City AFC,H,8,3,-,1,10,Southampton FC,W,09/20/2025
Hull City AFC,A,8,1,-,2,11,Watford FC,L,09/27/2025
Hull City AFC,H,9,2,-,2,13,Preston North End FC,D,09/30/2025
Hull City AFC,H,12,1,-,0,14,Sheffield United FC,W,10/04/2025
Hull City AFC,A,15,3,-,2,17,Birmingham City FC,W,10/18/2025
Hull City AFC,H,18,2,-,1,19,Leicester City FC,W,10/21/2025
Hull City AFC,H,19,1,-,1,20,Charlton Athletic FC,D,10/25/2025
Hull City AFC,A,22,2,-,0,22,Norwich City FC,W,11/01/2025
Hull City AFC,A,22,1,-,2,23,Derby County FC,L,11/04/2025
Hull City AFC,H,25,3,-,2,26,Portsmouth FC,W,11/08/2025
Hull City AFC,A,25,2,-,3,28,Queens Park Rangers FC,L,11/22/2025
Hull City AFC,H,25,0,-,2,28,Ipswich Town FC,L,11/25/2025
Hull City AFC,A,28,2,-,1,30,Stoke City FC,W,11/29/2025
Hull City AFC,H,28,1,-,4,31,Middlesbrough FC,L,12/05/2025
Hull City AFC,H,31,2,-,0,33,Wrexham AFC,W,12/10/2025
Hull City AFC,A,34,3,-,1,36,Millwall FC,W,12/13/2025
Hull City AFC,H,37,1,-,0,37,West Bromwich Albion FC,W,12/20/2025
Hull City AFC,A,38,2,-,2,39,Sheffield Wednesday FC,D,12/26/2025
Hull City AFC,A,41,1,-,0,40,Middlesbrough FC,W,12/29/2025
Hull City AFC,H,41,0,-,1,40,Stoke City FC,L,01/01/2026
Hull City AFC,H,41,0,-,0,40,Watford FC,,01/04/2026
Hull City AFC,A,41,None,-,None,40,Southampton FC,,01/17/2026
Hull City AFC,A,41,None,-,None,40,Preston North End FC,,01/20/2026
Hull City AFC,H,41,None,-,None,40,Swansea City AFC,,01/24/2026
Hull City AFC,A,41,None,-,None,40,Blackburn Rovers FC,,01/31/2026
Hull City AFC,H,41,None,-,None,40,Bristol City FC,,02/07/2026
Hull City AFC,A,41,None,-,None,40,Ipswich Town FC,,02/14/2026
Hull City AFC,H,41,None,-,None,40,Queens Park Rangers FC,,02/21/2026
Hull City AFC,H,41,None,-,None,40,Derby County FC,,02/24/2026
Hull City AFC,A,41,None,-,None,40,Portsmouth FC,,02/28/2026
Hull City AFC,H,41,None,-,None,40,Millwall FC,,03/07/2026
Hull City AFC,A,41,None,-,None,40,Wrexham AFC,,03/10/2026
Hull City AFC,A,41,None,-,None,40,West Bromwich Albion FC,,03/14/2026
Hull City AFC,H,41,None,-,None,40,Sheffield Wednesday FC,,03/21/2026
Hull City AFC,A,41,None,-,None,40,Oxford United FC,,04/03/2026
Hull City AFC,H,41,None,-,None,40,Coventry City FC,,04/06/2026
Hull City AFC,A,41,None,-,None,40,Sheffield United FC,,04/11/2026
Hull City AFC,H,41,None,-,None,40,Birmingham City FC,,04/18/2026
Hull City AFC,A,41,None,-,None,40,Leicester City FC,,04/22/2026
Hull City AFC,A,41,None,-,None,40,Charlton Athletic FC,,04/25/2026
Hull City AFC,H,41,None,-,None,40,Norwich City FC,,05/02/2026
