TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Leicester City FC,H,3,2,-,1,2,Sheffield Wednesday FC,W,'08/10/2025
Leicester City FC,A,3,1,-,2,3,Preston North End FC,L,'08/16/2025
Leicester City FC,A,6,1,-,0,4,Charlton Athletic FC,W,'08/23/2025
Leicester City FC,H,9,2,-,0,6,Birmingham City FC,W,'08/29/2025
Leicester City FC,A,10,2,-,2,8,Oxford United FC,D,'09/13/2025
Leicester City FC,H,11,0,-,0,8,Coventry City FC,D,'09/20/2025
Leicester City FC,A,12,1,-,1,9,West Bromwich Albion FC,D,'09/26/2025
Leicester City FC,H,13,1,-,1,10,Wrexham AFC,D,'09/30/2025
Leicester City FC,A,16,3,-,1,13,Swansea City AFC,W,'10/04/2025
Leicester City FC,H,17,1,-,1,14,Portsmouth FC,D,'10/18/2025
Leicester City FC,A,17,1,-,2,15,Hull City AFC,L,'10/21/2025
Leicester City FC,A,17,0,-,1,15,Millwall FC,L,'10/25/2025
Leicester City FC,H,17,0,-,2,15,Blackburn Rovers FC,L,'11/01/2025
Leicester City FC,H,18,1,-,1,16,Middlesbrough FC,D,'11/04/2025
Leicester City FC,A,21,2,-,1,18,Norwich City FC,W,'11/08/2025
Leicester City FC,H,24,2,-,1,20,Stoke City FC,W,'11/22/2025
Leicester City FC,A,24,0,-,3,20,Southampton FC,L,'11/25/2025
Leicester City FC,H,24,2,-,3,22,Sheffield United FC,L,'11/29/2025
Leicester City FC,A,27,3,-,1,25,Derby County FC,W,'12/06/2025
Leicester City FC,A,28,2,-,2,27,Bristol City FC,D,'12/10/2025
Leicester City FC,H,31,3,-,1,30,Ipswich Town FC,W,'12/13/2025
Leicester City FC,A,31,1,-,4,31,Queens Park Rangers FC,L,'12/20/2025
Leicester City FC,H,31,1,-,2,32,Watford FC,L,'12/26/2025
Leicester City FC,H,34,2,-,1,34,Derby County FC,W,'12/29/2025
Leicester City FC,A,34,1,-,3,35,Sheffield United FC,L,'01/01/2026
Leicester City FC,H,37,2,-,1,37,West Bromwich Albion FC,W,'01/05/2026
Leicester City FC,A,37,1,-,2,38,Coventry City FC,L,'01/17/2026
Leicester City FC,A,38,1,-,1,39,Wrexham AFC,D,'01/20/2026
Leicester City FC,H,38,1,-,2,40,Oxford United FC,L,'01/24/2026
Leicester City FC,H,38,-,-,-,40,Charlton Athletic FC,,'01/31/2026
Leicester City FC,A,38,-,-,-,40,Birmingham City FC,,'02/07/2026
Leicester City FC,H,38,-,-,-,40,Southampton FC,,'02/10/2026
Leicester City FC,A,38,-,-,-,40,Stoke City FC,,'02/21/2026
Leicester City FC,A,38,-,-,-,40,Middlesbrough FC,,'02/24/2026
Leicester City FC,H,38,-,-,-,40,Norwich City FC,,'02/28/2026
Leicester City FC,A,38,-,-,-,40,Ipswich Town FC,,'03/07/2026
Leicester City FC,H,38,-,-,-,40,Bristol City FC,,'03/10/2026
Leicester City FC,H,38,-,-,-,40,Queens Park Rangers FC,,'03/14/2026
Leicester City FC,A,38,-,-,-,40,Watford FC,,'03/21/2026
Leicester City FC,H,38,-,-,-,40,Preston North End FC,,'04/03/2026
Leicester City FC,A,38,-,-,-,40,Sheffield Wednesday FC,,'04/06/2026
Leicester City FC,H,38,-,-,-,40,Swansea City AFC,,'04/11/2026
Leicester City FC,A,38,-,-,-,40,Portsmouth FC,,'04/18/2026
Leicester City FC,H,38,-,-,-,40,Hull City AFC,,'04/22/2026
Leicester City FC,H,38,-,-,-,40,Millwall FC,,'04/25/2026
Leicester City FC,A,38,-,-,-,40,Blackburn Rovers FC,,'05/02/2026
