TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Middlesbrough FC,H,3,1,-,0,1,Swansea City AFC,W,'08/09/2025
Middlesbrough FC,A,6,3,-,0,4,Millwall FC,W,'08/16/2025
Middlesbrough FC,A,9,2,-,1,6,Norwich City FC,W,'08/23/2025
Middlesbrough FC,H,12,1,-,0,7,Sheffield United FC,W,'08/30/2025
Middlesbrough FC,A,13,2,-,2,9,Preston North End FC,D,'09/13/2025
Middlesbrough FC,H,16,2,-,1,11,West Bromwich Albion FC,W,'09/19/2025
Middlesbrough FC,A,17,1,-,1,12,Southampton FC,D,'09/27/2025
Middlesbrough FC,H,18,0,-,0,12,Stoke City FC,D,'09/30/2025
Middlesbrough FC,A,18,0,-,1,12,Portsmouth FC,L,'10/04/2025
Middlesbrough FC,H,21,2,-,1,14,Ipswich Town FC,W,'10/17/2025
Middlesbrough FC,A,24,1,-,0,15,Sheffield Wednesday FC,W,'10/22/2025
Middlesbrough FC,H,25,1,-,1,16,Wrexham AFC,D,'10/25/2025
Middlesbrough FC,A,25,0,-,3,16,Watford FC,L,'11/01/2025
Middlesbrough FC,A,26,1,-,1,17,Leicester City FC,D,'11/04/2025
Middlesbrough FC,H,29,2,-,1,19,Birmingham City FC,W,'11/08/2025
Middlesbrough FC,A,30,1,-,1,20,Oxford United FC,D,'11/22/2025
Middlesbrough FC,H,30,2,-,4,22,Coventry City FC,L,'11/25/2025
Middlesbrough FC,H,33,2,-,1,24,Derby County FC,W,'11/29/2025
Middlesbrough FC,A,36,4,-,1,28,Hull City AFC,W,'12/05/2025
Middlesbrough FC,A,39,2,-,1,30,Charlton Athletic FC,W,'12/09/2025
Middlesbrough FC,H,42,3,-,1,33,Queens Park Rangers FC,W,'12/13/2025
Middlesbrough FC,A,42,0,-,2,33,Bristol City FC,L,'12/20/2025
Middlesbrough FC,H,43,0,-,0,33,Blackburn Rovers FC,D,'12/26/2025
Middlesbrough FC,H,43,0,-,1,33,Hull City AFC,L,'12/29/2025
Middlesbrough FC,A,43,0,-,1,33,Derby County FC,L,'01/01/2026
Middlesbrough FC,H,46,4,-,0,37,Southampton FC,W,'01/04/2026
Middlesbrough FC,A,49,3,-,2,40,West Bromwich Albion FC,W,'01/16/2026
Middlesbrough FC,A,49,-,-,-,40,Stoke City FC,,'01/21/2026
Middlesbrough FC,H,49,-,-,-,40,Preston North End FC,,'01/24/2026
Middlesbrough FC,H,49,-,-,-,40,Norwich City FC,,'01/31/2026
Middlesbrough FC,A,49,-,-,-,40,Sheffield United FC,,'02/09/2026
Middlesbrough FC,A,49,-,-,-,40,Coventry City FC,,'02/16/2026
Middlesbrough FC,H,49,-,-,-,40,Oxford United FC,,'02/21/2026
Middlesbrough FC,H,49,-,-,-,40,Leicester City FC,,'02/24/2026
Middlesbrough FC,A,49,-,-,-,40,Birmingham City FC,,'03/02/2026
Middlesbrough FC,A,49,-,-,-,40,Queens Park Rangers FC,,'03/07/2026
Middlesbrough FC,H,49,-,-,-,40,Charlton Athletic FC,,'03/11/2026
Middlesbrough FC,H,49,-,-,-,40,Bristol City FC,,'03/14/2026
Middlesbrough FC,A,49,-,-,-,40,Blackburn Rovers FC,,'03/21/2026
Middlesbrough FC,H,49,-,-,-,40,Millwall FC,,'04/03/2026
Middlesbrough FC,A,49,-,-,-,40,Swansea City AFC,,'04/06/2026
Middlesbrough FC,H,49,-,-,-,40,Portsmouth FC,,'04/11/2026
Middlesbrough FC,A,49,-,-,-,40,Ipswich Town FC,,'04/18/2026
Middlesbrough FC,H,49,-,-,-,40,Sheffield Wednesday FC,,'04/21/2026
Middlesbrough FC,H,49,-,-,-,40,Watford FC,,'04/25/2026
Middlesbrough FC,A,49,-,-,-,40,Wrexham AFC,,'05/02/2026
