TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Millwall FC,A,3,2,-,1,2,Norwich City FC,W,'08/09/2025
Millwall FC,H,3,0,-,3,2,Middlesbrough FC,L,'08/16/2025
Millwall FC,A,6,1,-,0,3,Sheffield United FC,W,'08/23/2025
Millwall FC,H,6,0,-,2,3,Wrexham AFC,L,'08/30/2025
Millwall FC,A,7,1,-,1,4,Charlton Athletic FC,D,'09/13/2025
Millwall FC,H,10,1,-,0,5,Watford FC,W,'09/22/2025
Millwall FC,A,11,1,-,1,6,Swansea City AFC,D,'09/27/2025
Millwall FC,H,11,0,-,4,6,Coventry City FC,L,'10/01/2025
Millwall FC,H,14,3,-,0,9,West Bromwich Albion FC,W,'10/04/2025
Millwall FC,A,17,2,-,1,11,Queens Park Rangers FC,W,'10/18/2025
Millwall FC,H,20,2,-,0,13,Stoke City FC,W,'10/21/2025
Millwall FC,H,23,1,-,0,14,Leicester City FC,W,'10/25/2025
Millwall FC,A,24,2,-,2,16,Oxford United FC,D,'11/01/2025
Millwall FC,A,24,0,-,4,16,Birmingham City FC,L,'11/04/2025
Millwall FC,H,25,1,-,1,17,Preston North End FC,D,'11/08/2025
Millwall FC,A,25,1,-,3,18,Portsmouth FC,L,'11/22/2025
Millwall FC,H,28,1,-,0,19,Sheffield Wednesday FC,W,'11/26/2025
Millwall FC,H,31,3,-,2,22,Southampton FC,W,'11/29/2025
Millwall FC,A,34,1,-,0,23,Bristol City FC,W,'12/06/2025
Millwall FC,A,35,1,-,1,24,Derby County FC,D,'12/10/2025
Millwall FC,H,35,1,-,3,25,Hull City AFC,L,'12/13/2025
Millwall FC,A,35,0,-,2,25,Blackburn Rovers FC,L,'12/20/2025
Millwall FC,H,36,0,-,0,25,Ipswich Town FC,D,'12/26/2025
Millwall FC,H,39,2,-,1,27,Bristol City FC,W,'12/29/2025
Millwall FC,A,40,0,-,0,27,Southampton FC,D,'01/01/2026
Millwall FC,H,43,2,-,1,29,Swansea City AFC,W,'01/04/2026
Millwall FC,A,43,-,-,-,29,Watford FC,,'01/17/2026
Millwall FC,A,43,-,-,-,29,Coventry City FC,,'01/20/2026
Millwall FC,H,43,-,-,-,29,Charlton Athletic FC,,'01/24/2026
Millwall FC,H,43,-,-,-,29,Sheffield United FC,,'01/31/2026
Millwall FC,A,43,-,-,-,29,Wrexham AFC,,'02/07/2026
Millwall FC,A,43,-,-,-,29,Sheffield Wednesday FC,,'02/14/2026
Millwall FC,H,43,-,-,-,29,Portsmouth FC,,'02/21/2026
Millwall FC,H,43,-,-,-,29,Birmingham City FC,,'02/25/2026
Millwall FC,A,43,-,-,-,29,Preston North End FC,,'02/28/2026
Millwall FC,A,43,-,-,-,29,Hull City AFC,,'03/07/2026
Millwall FC,H,43,-,-,-,29,Derby County FC,,'03/10/2026
Millwall FC,H,43,-,-,-,29,Blackburn Rovers FC,,'03/14/2026
Millwall FC,A,43,-,-,-,29,Ipswich Town FC,,'03/21/2026
Millwall FC,A,43,-,-,-,29,Middlesbrough FC,,'04/03/2026
Millwall FC,H,43,-,-,-,29,Norwich City FC,,'04/06/2026
Millwall FC,A,43,-,-,-,29,West Bromwich Albion FC,,'04/11/2026
Millwall FC,H,43,-,-,-,29,Queens Park Rangers FC,,'04/18/2026
Millwall FC,A,43,-,-,-,29,Stoke City FC,,'04/21/2026
Millwall FC,A,43,-,-,-,29,Leicester City FC,,'04/25/2026
Millwall FC,H,43,-,-,-,29,Oxford United FC,,'05/02/2026
