TEAM,H/A,PTS,SCORE,,,PTS,OPPONENT,W/D/L,DATE
Norwich City FC,H,0,1,-,2,1,Millwall FC,L,08/09/2025
Norwich City FC,A,3,2,-,1,3,Portsmouth FC,W,08/16/2025
Norwich City FC,H,3,1,-,2,4,Middlesbrough FC,L,08/23/2025
Norwich City FC,A,6,2,-,0,6,Blackburn Rovers FC,W,08/30/2025
Norwich City FC,A,7,1,-,1,7,Coventry City FC,D,09/13/2025
Norwich City FC,H,7,2,-,3,9,Wrexham AFC,L,09/20/2025
Norwich City FC,A,8,1,-,1,10,Stoke City FC,D,09/27/2025
Norwich City FC,H,8,0,-,1,10,West Bromwich Albion FC,L,10/01/2025
Norwich City FC,A,8,1,-,3,11,Ipswich Town FC,L,10/05/2025
Norwich City FC,H,8,0,-,1,11,Bristol City FC,L,10/18/2025
Norwich City FC,A,8,0,-,1,11,Derby County FC,L,10/21/2025
Norwich City FC,A,8,1,-,2,12,Swansea City AFC,L,10/25/2025
Norwich City FC,H,8,0,-,2,12,Hull City AFC,L,11/01/2025
Norwich City FC,A,9,1,-,1,13,Sheffield Wednesday FC,D,11/05/2025
Norwich City FC,H,9,1,-,2,14,Leicester City FC,L,11/08/2025
Norwich City FC,A,9,1,-,4,15,Birmingham City FC,L,11/22/2025
Norwich City FC,H,10,1,-,1,16,Oxford United FC,D,11/25/2025
Norwich City FC,H,13,3,-,1,19,Queens Park Rangers FC,W,11/29/2025
Norwich City FC,A,13,2,-,3,21,Watford FC,L,12/06/2025
Norwich City FC,A,14,1,-,1,22,Sheffield United FC,D,12/09/2025
Norwich City FC,H,17,2,-,1,24,Southampton FC,W,12/13/2025
Norwich City FC,A,18,1,-,1,25,Preston North End FC,D,12/20/2025
Norwich City FC,H,21,1,-,0,26,Charlton Athletic FC,W,12/26/2025
Norwich City FC,H,21,0,-,1,26,Watford FC,L,12/29/2025
Norwich City FC,A,24,2,-,1,28,Queens Park Rangers FC,W,01/01/2026
Norwich City FC,H,24,0,-,2,28,Stoke City FC,L,01/04/2026
Norwich City FC,A,24,-,-,-,28,Wrexham AFC,,01/17/2026
Norwich City FC,A,24,-,-,-,28,West Bromwich Albion FC,,01/20/2026
Norwich City FC,H,24,-,-,-,28,Coventry City FC,,01/26/2026
Norwich City FC,A,24,-,-,-,28,Middlesbrough FC,,01/31/2026
Norwich City FC,H,24,-,-,-,28,Blackburn Rovers FC,,02/07/2026
Norwich City FC,A,24,-,-,-,28,Oxford United FC,,02/14/2026
Norwich City FC,H,24,-,-,-,28,Birmingham City FC,,02/21/2026
Norwich City FC,H,24,-,-,-,28,Sheffield Wednesday FC,,02/25/2026
Norwich City FC,A,24,-,-,-,28,Leicester City FC,,02/28/2026
Norwich City FC,A,24,-,-,-,28,Southampton FC,,03/07/2026
Norwich City FC,H,24,-,-,-,28,Sheffield United FC,,03/10/2026
Norwich City FC,H,24,-,-,-,28,Preston North End FC,,03/14/2026
Norwich City FC,A,24,-,-,-,28,Charlton Athletic FC,,03/21/2026
Norwich City FC,H,24,-,-,-,28,Portsmouth FC,,04/03/2026
Norwich City FC,A,24,-,-,-,28,Millwall FC,,04/06/2026
Norwich City FC,H,24,-,-,-,28,Ipswich Town FC,,04/11/2026
Norwich City FC,A,24,-,-,-,28,Bristol City FC,,04/18/2026
Norwich City FC,H,24,-,-,-,28,Derby County FC,,04/21/2026
Norwich City FC,H,24,-,-,-,28,Swansea City AFC,,04/25/2026
Norwich City FC,A,24,-,-,-,28,Hull City AFC,,05/02/2026
