TEAM,H/A,PTS,SCORE,,,PTS,OPPONENT,W/D/L,DATE
Oxford United FC,H,0,0,-,1,0,Portsmouth FC,L,'08/09/2025
Oxford United FC,A,0,2,-,3,2,Hull City AFC,L,'08/17/2025
Oxford United FC,A,0,0,-,1,2,Birmingham City FC,L,'08/23/2025
Oxford United FC,H,1,2,-,2,4,Coventry City FC,D,'08/30/2025
Oxford United FC,H,2,2,-,2,6,Leicester City FC,D,'09/13/2025
Oxford United FC,A,5,3,-,1,9,Bristol City FC,W,'09/21/2025
Oxford United FC,H,5,0,-,1,9,Sheffield United FC,L,'09/27/2025
Oxford United FC,A,6,0,-,0,9,Queens Park Rangers FC,D,'10/01/2025
Oxford United FC,A,6,1,-,2,10,Watford FC,L,'10/04/2025
Oxford United FC,H,9,1,-,0,11,Derby County FC,W,'10/18/2025
Oxford United FC,A,9,0,-,1,11,Wrexham AFC,L,'10/22/2025
Oxford United FC,A,12,2,-,1,13,Sheffield Wednesday FC,W,'10/25/2025
Oxford United FC,H,13,2,-,2,15,Millwall FC,D,'11/01/2025
Oxford United FC,H,13,0,-,3,15,Stoke City FC,L,'11/04/2025
Oxford United FC,A,13,1,-,2,16,West Bromwich Albion FC,L,'11/08/2025
Oxford United FC,H,14,1,-,1,17,Middlesbrough FC,D,'11/22/2025
Oxford United FC,A,15,1,-,1,18,Norwich City FC,D,'11/25/2025
Oxford United FC,H,18,2,-,1,20,Ipswich Town FC,W,'11/28/2025
Oxford United FC,A,18,0,-,2,20,Swansea City AFC,L,'12/06/2025
Oxford United FC,A,19,1,-,1,21,Blackburn Rovers FC,D,'12/09/2025
Oxford United FC,H,19,1,-,2,22,Preston North End FC,L,'12/13/2025
Oxford United FC,A,19,0,-,1,22,Charlton Athletic FC,L,'12/20/2025
Oxford United FC,H,22,2,-,1,24,Southampton FC,W,'12/26/2025
Oxford United FC,H,22,0,-,1,24,Swansea City AFC,L,'12/29/2025
Oxford United FC,A,22,1,-,2,25,Ipswich Town FC,L,'01/01/2026
Oxford United FC,A,22,0,-,0,25,Sheffield United FC,,'01/04/2026
Oxford United FC,H,22,-,-,-,25,Bristol City FC,,'01/17/2026
Oxford United FC,H,22,-,-,-,25,Queens Park Rangers FC,,'01/20/2026
Oxford United FC,A,22,-,-,-,25,Leicester City FC,,'01/24/2026
Oxford United FC,H,22,-,-,-,25,Birmingham City FC,,'01/31/2026
Oxford United FC,A,22,-,-,-,25,Coventry City FC,,'02/07/2026
Oxford United FC,H,22,-,-,-,25,Norwich City FC,,'02/14/2026
Oxford United FC,A,22,-,-,-,25,Middlesbrough FC,,'02/21/2026
Oxford United FC,A,22,-,-,-,25,Stoke City FC,,'02/25/2026
Oxford United FC,H,22,-,-,-,25,West Bromwich Albion FC,,'02/28/2026
Oxford United FC,A,22,-,-,-,25,Preston North End FC,,'03/07/2026
Oxford United FC,H,22,-,-,-,25,Blackburn Rovers FC,,'03/11/2026
Oxford United FC,H,22,-,-,-,25,Charlton Athletic FC,,'03/14/2026
Oxford United FC,A,22,-,-,-,25,Southampton FC,,'03/21/2026
Oxford United FC,H,22,-,-,-,25,Hull City AFC,,'04/03/2026
Oxford United FC,A,22,-,-,-,25,Portsmouth FC,,'04/06/2026
Oxford United FC,H,22,-,-,-,25,Watford FC,,'04/11/2026
Oxford United FC,A,22,-,-,-,25,Derby County FC,,'04/18/2026
Oxford United FC,H,22,-,-,-,25,Wrexham AFC,,'04/21/2026
Oxford United FC,H,22,-,-,-,25,Sheffield Wednesday FC,,'04/25/2026
Oxford United FC,A,22,-,-,-,25,Millwall FC,,'05/02/2026
