TEAM,H/A,PTS,SCORE,,,PTS,OPPONENT,W/D/L,DATE
Queens Park Rangers FC,H,1,1,-,1,1,Preston North End FC,D,08/09/2025
Queens Park Rangers FC,A,1,1,-,2,2,Watford FC,L,08/16/2025
Queens Park Rangers FC,A,1,1,-,7,3,Coventry City FC,L,08/23/2025
Queens Park Rangers FC,H,4,3,-,1,6,Charlton Athletic FC,W,08/30/2025
Queens Park Rangers FC,A,7,3,-,1,9,Wrexham AFC,W,09/13/2025
Queens Park Rangers FC,H,10,1,-,0,10,Stoke City FC,W,09/20/2025
Queens Park Rangers FC,A,11,1,-,1,11,Sheffield Wednesday FC,D,09/27/2025
Queens Park Rangers FC,H,12,0,-,0,11,Oxford United FC,D,10/01/2025
Queens Park Rangers FC,A,15,2,-,1,13,Bristol City FC,W,10/04/2025
Queens Park Rangers FC,H,15,1,-,2,14,Millwall FC,L,10/18/2025
Queens Park Rangers FC,A,18,1,-,0,15,Swansea City AFC,W,10/22/2025
Queens Park Rangers FC,A,18,0,-,1,15,Derby County FC,L,10/25/2025
Queens Park Rangers FC,H,18,1,-,4,16,Ipswich Town FC,L,11/01/2025
Queens Park Rangers FC,H,18,1,-,2,17,Southampton FC,L,11/05/2025
Queens Park Rangers FC,A,19,0,-,0,17,Sheffield United FC,D,11/08/2025
Queens Park Rangers FC,H,22,3,-,2,20,Hull City AFC,W,11/22/2025
Queens Park Rangers FC,A,25,1,-,0,21,Blackburn Rovers FC,W,11/26/2025
Queens Park Rangers FC,A,25,1,-,3,22,Norwich City FC,L,11/29/2025
Queens Park Rangers FC,H,28,3,-,1,25,West Bromwich Albion FC,W,12/06/2025
Queens Park Rangers FC,H,31,2,-,1,27,Birmingham City FC,W,12/09/2025
Queens Park Rangers FC,A,31,1,-,3,28,Middlesbrough FC,L,12/13/2025
Queens Park Rangers FC,H,34,4,-,1,32,Leicester City FC,W,12/20/2025
Queens Park Rangers FC,A,35,1,-,1,33,Portsmouth FC,D,12/26/2025
Queens Park Rangers FC,A,35,1,-,2,34,West Bromwich Albion FC,L,12/29/2025
Queens Park Rangers FC,H,35,1,-,2,35,Norwich City FC,L,01/01/2026
Queens Park Rangers FC,H,38,3,-,0,38,Sheffield Wednesday FC,W,01/04/2026
Queens Park Rangers FC,A,38,-,-,-,38,Stoke City FC,,01/17/2026
Queens Park Rangers FC,A,38,-,-,-,38,Oxford United FC,,01/20/2026
Queens Park Rangers FC,H,38,-,-,-,38,Wrexham AFC,,01/24/2026
Queens Park Rangers FC,H,38,-,-,-,38,Coventry City FC,,01/31/2026
Queens Park Rangers FC,A,38,-,-,-,38,Charlton Athletic FC,,02/06/2026
Queens Park Rangers FC,H,38,-,-,-,38,Blackburn Rovers FC,,02/14/2026
Queens Park Rangers FC,A,38,-,-,-,38,Hull City AFC,,02/21/2026
Queens Park Rangers FC,A,38,-,-,-,38,Southampton FC,,02/24/2026
Queens Park Rangers FC,H,38,-,-,-,38,Sheffield United FC,,02/28/2026
Queens Park Rangers FC,H,38,-,-,-,38,Middlesbrough FC,,03/07/2026
Queens Park Rangers FC,A,38,-,-,-,38,Birmingham City FC,,03/10/2026
Queens Park Rangers FC,A,38,-,-,-,38,Leicester City FC,,03/14/2026
Queens Park Rangers FC,H,38,-,-,-,38,Portsmouth FC,,03/21/2026
Queens Park Rangers FC,H,38,-,-,-,38,Watford FC,,04/03/2026
Queens Park Rangers FC,A,38,-,-,-,38,Preston North End FC,,04/06/2026
Queens Park Rangers FC,H,38,-,-,-,38,Bristol City FC,,04/11/2026
Queens Park Rangers FC,A,38,-,-,-,38,Millwall FC,,04/18/2026
Queens Park Rangers FC,H,38,-,-,-,38,Swansea City AFC,,04/21/2026
Queens Park Rangers FC,H,38,-,-,-,38,Derby County FC,,04/25/2026
Queens Park Rangers FC,A,38,-,-,-,38,Ipswich Town FC,,05/02/2026
