TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
Sheffield United FC,H,0,1,-,4,1,Bristol City FC,L,'08/09/2025
Sheffield United FC,A,0,0,-,1,1,Swansea City AFC,L,'08/16/2025
Sheffield United FC,H,0,0,-,1,1,Millwall FC,L,'08/23/2025
Sheffield United FC,A,0,0,-,1,1,Middlesbrough FC,L,'08/30/2025
Sheffield United FC,A,0,0,-,5,1,Ipswich Town FC,L,'09/12/2025
Sheffield United FC,H,0,0,-,1,1,Charlton Athletic FC,L,'09/20/2025
Sheffield United FC,A,3,1,-,0,2,Oxford United FC,W,'09/27/2025
Sheffield United FC,H,3,1,-,2,3,Southampton FC,L,'09/30/2025
Sheffield United FC,A,3,0,-,1,3,Hull City AFC,L,'10/04/2025
Sheffield United FC,H,6,1,-,0,4,Watford FC,W,'10/18/2025
Sheffield United FC,A,9,3,-,1,7,Blackburn Rovers FC,W,'10/21/2025
Sheffield United FC,A,9,2,-,3,9,Preston North End FC,L,'10/24/2025
Sheffield United FC,H,9,1,-,3,10,Derby County FC,L,'11/01/2025
Sheffield United FC,A,9,1,-,3,11,Coventry City FC,L,'11/04/2025
Sheffield United FC,H,10,0,-,0,11,Queens Park Rangers FC,D,'11/08/2025
Sheffield United FC,A,13,3,-,0,14,Sheffield Wednesday FC,W,'11/23/2025
Sheffield United FC,H,16,3,-,0,17,Portsmouth FC,W,'11/26/2025
Sheffield United FC,A,19,3,-,2,20,Leicester City FC,W,'11/29/2025
Sheffield United FC,H,22,4,-,0,24,Stoke City FC,W,'12/06/2025
Sheffield United FC,H,23,1,-,1,25,Norwich City FC,D,'12/09/2025
Sheffield United FC,A,23,0,-,2,25,West Bromwich Albion FC,L,'12/12/2025
Sheffield United FC,H,26,3,-,0,28,Birmingham City FC,W,'12/20/2025
Sheffield United FC,A,26,3,-,5,31,Wrexham AFC,L,'12/26/2025
Sheffield United FC,A,29,2,-,1,33,Stoke City FC,W,'12/29/2025
Sheffield United FC,H,32,3,-,1,36,Leicester City FC,W,'01/01/2026
Sheffield United FC,A,32,0,-,1,36,Charlton Athletic FC,L,'01/17/2026
Sheffield United FC,A,32,0,-,1,36,Southampton FC,L,'01/21/2026
Sheffield United FC,H,35,3,-,1,39,Ipswich Town FC,W,'01/24/2026
Sheffield United FC,A,35,-,-,-,39,Millwall FC,,'01/31/2026
Sheffield United FC,H,35,0,-,0,39,Oxford United FC,,'02/03/2026
Sheffield United FC,H,35,-,-,-,39,Middlesbrough FC,,'02/09/2026
Sheffield United FC,A,35,-,-,-,39,Portsmouth FC,,'02/14/2026
Sheffield United FC,H,35,-,-,-,39,Sheffield Wednesday FC,,'02/22/2026
Sheffield United FC,H,35,-,-,-,39,Coventry City FC,,'02/25/2026
Sheffield United FC,A,35,-,-,-,39,Queens Park Rangers FC,,'02/28/2026
Sheffield United FC,H,35,-,-,-,39,West Bromwich Albion FC,,'03/07/2026
Sheffield United FC,A,35,-,-,-,39,Norwich City FC,,'03/10/2026
Sheffield United FC,A,35,-,-,-,39,Birmingham City FC,,'03/14/2026
Sheffield United FC,H,35,-,-,-,39,Wrexham AFC,,'03/21/2026
Sheffield United FC,H,35,-,-,-,39,Swansea City AFC,,'04/03/2026
Sheffield United FC,A,35,-,-,-,39,Bristol City FC,,'04/06/2026
Sheffield United FC,H,35,-,-,-,39,Hull City AFC,,'04/11/2026
Sheffield United FC,A,35,-,-,-,39,Watford FC,,'04/18/2026
Sheffield United FC,H,35,-,-,-,39,Blackburn Rovers FC,,'04/22/2026
Sheffield United FC,H,35,-,-,-,39,Preston North End FC,,'04/25/2026
Sheffield United FC,A,35,-,-,-,39,Derby County FC,,'05/02/2026
