TEAM,H/A,PTS,SCORE,,,PTS,OPPONENT,W/D/L,DATE
Southampton FC,H,3,2,-,1,2,Wrexham AFC,W,08/09/2025
Southampton FC,A,4,1,-,1,3,Ipswich Town FC,D,08/17/2025
Southampton FC,H,4,1,-,2,4,Stoke City FC,L,08/23/2025
Southampton FC,A,5,2,-,2,6,Watford FC,D,08/30/2025
Southampton FC,H,6,0,-,0,6,Portsmouth FC,D,09/14/2025
Southampton FC,A,6,1,-,3,7,Hull City AFC,L,09/20/2025
Southampton FC,H,7,1,-,1,8,Middlesbrough FC,D,09/27/2025
Southampton FC,A,10,2,-,1,10,Sheffield United FC,W,09/30/2025
Southampton FC,A,11,1,-,1,11,Derby County FC,D,10/04/2025
Southampton FC,H,12,0,-,0,11,Swansea City AFC,D,10/18/2025
Southampton FC,A,12,1,-,3,12,Bristol City FC,L,10/21/2025
Southampton FC,A,12,1,-,2,13,Blackburn Rovers FC,L,10/25/2025
Southampton FC,H,12,0,-,2,13,Preston North End FC,L,11/01/2025
Southampton FC,A,15,2,-,1,15,Queens Park Rangers FC,W,11/05/2025
Southampton FC,H,18,3,-,1,18,Sheffield Wednesday FC,W,11/08/2025
Southampton FC,A,21,5,-,1,23,Charlton Athletic FC,W,11/22/2025
Southampton FC,H,24,3,-,0,26,Leicester City FC,W,11/25/2025
Southampton FC,A,24,2,-,3,28,Millwall FC,L,11/29/2025
Southampton FC,H,27,3,-,1,31,Birmingham City FC,W,12/06/2025
Southampton FC,H,30,3,-,2,34,West Bromwich Albion FC,W,12/09/2025
Southampton FC,A,30,1,-,2,35,Norwich City FC,L,12/13/2025
Southampton FC,H,31,1,-,1,36,Coventry City FC,D,12/20/2025
Southampton FC,A,31,1,-,2,37,Oxford United FC,L,12/26/2025
Southampton FC,A,32,1,-,1,38,Birmingham City FC,D,12/29/2025
Southampton FC,H,33,0,-,0,38,Millwall FC,D,01/01/2026
Southampton FC,A,33,0,-,4,38,Middlesbrough FC,L,01/04/2026
Southampton FC,H,33,None,-,None,38,Hull City AFC,,01/17/2026
Southampton FC,H,33,None,-,None,38,Sheffield United FC,,01/21/2026
Southampton FC,A,33,None,-,None,38,Portsmouth FC,,01/25/2026
Southampton FC,A,33,None,-,None,38,Stoke City FC,,01/31/2026
Southampton FC,H,33,None,-,None,38,Watford FC,,02/07/2026
Southampton FC,A,33,None,-,None,38,Leicester City FC,,02/14/2026
Southampton FC,H,33,None,-,None,38,Charlton Athletic FC,,02/21/2026
Southampton FC,H,33,None,-,None,38,Queens Park Rangers FC,,02/24/2026
Southampton FC,A,33,None,-,None,38,Sheffield Wednesday FC,,02/28/2026
Southampton FC,H,33,None,-,None,38,Norwich City FC,,03/07/2026
Southampton FC,A,33,None,-,None,38,West Bromwich Albion FC,,03/11/2026
Southampton FC,A,33,None,-,None,38,Coventry City FC,,03/14/2026
Southampton FC,H,33,None,-,None,38,Oxford United FC,,03/21/2026
Southampton FC,H,33,None,-,None,38,Ipswich Town FC,,04/03/2026
Southampton FC,A,33,None,-,None,38,Wrexham AFC,,04/06/2026
Southampton FC,H,33,None,-,None,38,Derby County FC,,04/11/2026
Southampton FC,A,33,None,-,None,38,Swansea City AFC,,04/18/2026
Southampton FC,H,33,None,-,None,38,Bristol City FC,,04/21/2026
Southampton FC,H,33,None,-,None,38,Blackburn Rovers FC,,04/25/2026
Southampton FC,A,33,None,-,None,38,Preston North End FC,,05/02/2026
