TEAM,H/A,PTS,SCORE,,,PTS,OPPONENT,W/D/L,DATE
Swansea City AFC,A,0,0,-,1,0,Middlesbrough FC,L,'08/09/2025
Swansea City AFC,H,3,1,-,0,1,Sheffield United FC,W,'08/16/2025
Swansea City AFC,H,4,1,-,1,2,Watford FC,D,'08/23/2025
Swansea City AFC,A,7,2,-,0,4,Sheffield Wednesday FC,W,'08/30/2025
Swansea City AFC,H,8,2,-,2,6,Hull City AFC,D,'09/13/2025
Swansea City AFC,A,8,0,-,1,6,Birmingham City FC,L,'09/20/2025
Swansea City AFC,H,9,1,-,1,7,Millwall FC,D,'09/27/2025
Swansea City AFC,A,12,2,-,1,9,Blackburn Rovers FC,W,'09/30/2025
Swansea City AFC,H,12,1,-,3,10,Leicester City FC,L,'10/04/2025
Swansea City AFC,A,13,0,-,0,10,Southampton FC,D,'10/18/2025
Swansea City AFC,H,13,0,-,1,10,Queens Park Rangers FC,L,'10/22/2025
Swansea City AFC,H,16,2,-,1,12,Norwich City FC,W,'10/25/2025
Swansea City AFC,A,17,1,-,1,13,Charlton Athletic FC,D,'11/01/2025
Swansea City AFC,A,17,1,-,2,14,Preston North End FC,L,'11/05/2025
Swansea City AFC,H,17,1,-,4,15,Ipswich Town FC,L,'11/08/2025
Swansea City AFC,A,17,0,-,3,15,Bristol City FC,L,'11/22/2025
Swansea City AFC,H,17,1,-,2,16,Derby County FC,L,'11/25/2025
Swansea City AFC,A,17,2,-,3,18,West Bromwich Albion FC,L,'11/29/2025
Swansea City AFC,H,20,2,-,0,20,Oxford United FC,W,'12/06/2025
Swansea City AFC,H,23,1,-,0,21,Portsmouth FC,W,'12/09/2025
Swansea City AFC,A,23,1,-,2,22,Stoke City FC,L,'12/13/2025
Swansea City AFC,H,26,2,-,1,24,Wrexham AFC,W,'12/19/2025
Swansea City AFC,A,26,0,-,1,24,Coventry City FC,L,'12/26/2025
Swansea City AFC,A,29,1,-,0,25,Oxford United FC,W,'12/29/2025
Swansea City AFC,H,32,1,-,0,26,West Bromwich Albion FC,W,'01/01/2026
Swansea City AFC,A,32,1,-,2,27,Millwall FC,L,'01/04/2026
Swansea City AFC,H,32,-,-,-,27,Birmingham City FC,,'01/17/2026
Swansea City AFC,H,32,-,-,-,27,Blackburn Rovers FC,,'01/20/2026
Swansea City AFC,A,32,-,-,-,27,Hull City AFC,,'01/24/2026
Swansea City AFC,A,32,-,-,-,27,Watford FC,,'01/31/2026
Swansea City AFC,H,32,-,-,-,27,Sheffield Wednesday FC,,'02/08/2026
Swansea City AFC,A,32,-,-,-,27,Derby County FC,,'02/14/2026
Swansea City AFC,H,32,-,-,-,27,Bristol City FC,,'02/21/2026
Swansea City AFC,H,32,-,-,-,27,Preston North End FC,,'02/24/2026
Swansea City AFC,A,32,-,-,-,27,Ipswich Town FC,,'02/28/2026
Swansea City AFC,H,32,-,-,-,27,Stoke City FC,,'03/07/2026
Swansea City AFC,A,32,-,-,-,27,Portsmouth FC,,'03/10/2026
Swansea City AFC,A,32,-,-,-,27,Wrexham AFC,,'03/14/2026
Swansea City AFC,H,32,-,-,-,27,Coventry City FC,,'03/21/2026
Swansea City AFC,A,32,-,-,-,27,Sheffield United FC,,'04/03/2026
Swansea City AFC,H,32,-,-,-,27,Middlesbrough FC,,'04/06/2026
Swansea City AFC,A,32,-,-,-,27,Leicester City FC,,'04/11/2026
Swansea City AFC,H,32,-,-,-,27,Southampton FC,,'04/18/2026
Swansea City AFC,A,32,-,-,-,27,Queens Park Rangers FC,,'04/21/2026
Swansea City AFC,A,32,-,-,-,27,Norwich City FC,,'04/25/2026
Swansea City AFC,H,32,-,-,-,27,Charlton Athletic FC,,'05/02/2026
