TEAM,H/A,TEAM_PTS,TEAM_SCORE,SEP,OPP_SCORE,OPP_PTS,OPPONENT,RESULT,DATE
West Bromwich Albion FC,H,3,1,-,0,1,Blackburn Rovers FC,W,'08/09/2025
West Bromwich Albion FC,A,6,3,-,2,4,Wrexham AFC,W,'08/16/2025
West Bromwich Albion FC,H,7,1,-,1,5,Portsmouth FC,D,'08/23/2025
West Bromwich Albion FC,A,10,1,-,0,6,Stoke City FC,W,'08/30/2025
West Bromwich Albion FC,H,10,0,-,1,6,Derby County FC,L,'09/13/2025
West Bromwich Albion FC,A,10,1,-,2,7,Middlesbrough FC,L,'09/19/2025
West Bromwich Albion FC,H,11,1,-,1,8,Leicester City FC,D,'09/26/2025
West Bromwich Albion FC,A,14,1,-,0,9,Norwich City FC,W,'10/01/2025
West Bromwich Albion FC,A,14,0,-,3,9,Millwall FC,L,'10/04/2025
West Bromwich Albion FC,H,17,2,-,1,11,Preston North End FC,W,'10/18/2025
West Bromwich Albion FC,A,17,1,-,2,12,Watford FC,L,'10/22/2025
West Bromwich Albion FC,A,17,0,-,1,12,Ipswich Town FC,L,'10/25/2025
West Bromwich Albion FC,H,18,0,-,0,12,Sheffield Wednesday FC,D,'11/01/2025
West Bromwich Albion FC,A,18,0,-,1,12,Charlton Athletic FC,L,'11/04/2025
West Bromwich Albion FC,H,21,2,-,1,14,Oxford United FC,W,'11/08/2025
West Bromwich Albion FC,A,21,2,-,3,16,Coventry City FC,L,'11/22/2025
West Bromwich Albion FC,H,22,1,-,1,17,Birmingham City FC,D,'11/26/2025
West Bromwich Albion FC,H,25,3,-,2,20,Swansea City AFC,W,'11/29/2025
West Bromwich Albion FC,A,25,1,-,3,21,Queens Park Rangers FC,L,'12/06/2025
West Bromwich Albion FC,A,25,2,-,3,23,Southampton FC,L,'12/09/2025
West Bromwich Albion FC,H,28,2,-,0,25,Sheffield United FC,W,'12/12/2025
West Bromwich Albion FC,A,28,0,-,1,25,Hull City AFC,L,'12/20/2025
West Bromwich Albion FC,H,28,1,-,2,26,Bristol City FC,L,'12/26/2025
West Bromwich Albion FC,H,31,2,-,1,28,Queens Park Rangers FC,W,'12/29/2025
West Bromwich Albion FC,A,31,0,-,1,28,Swansea City AFC,L,'01/01/2026
West Bromwich Albion FC,A,31,1,-,2,29,Leicester City FC,L,'01/05/2026
West Bromwich Albion FC,H,31,2,-,3,31,Middlesbrough FC,L,'01/16/2026
West Bromwich Albion FC,H,31,0,-,5,31,Norwich City FC,L,'01/20/2026
West Bromwich Albion FC,A,32,1,-,1,32,Derby County FC,D,'01/23/2026
West Bromwich Albion FC,A,32,-,-,-,32,Portsmouth FC,,'01/31/2026
West Bromwich Albion FC,H,32,-,-,-,32,Stoke City FC,,'02/07/2026
West Bromwich Albion FC,A,32,-,-,-,32,Birmingham City FC,,'02/10/2026
West Bromwich Albion FC,H,32,-,-,-,32,Coventry City FC,,'02/21/2026
West Bromwich Albion FC,H,32,-,-,-,32,Charlton Athletic FC,,'02/24/2026
West Bromwich Albion FC,A,32,-,-,-,32,Oxford United FC,,'02/28/2026
West Bromwich Albion FC,A,32,-,-,-,32,Sheffield United FC,,'03/07/2026
West Bromwich Albion FC,H,32,-,-,-,32,Southampton FC,,'03/11/2026
West Bromwich Albion FC,H,32,-,-,-,32,Hull City AFC,,'03/14/2026
West Bromwich Albion FC,A,32,-,-,-,32,Bristol City FC,,'03/21/2026
West Bromwich Albion FC,H,32,-,-,-,32,Wrexham AFC,,'04/03/2026
West Bromwich Albion FC,A,32,-,-,-,32,Blackburn Rovers FC,,'04/06/2026
West Bromwich Albion FC,H,32,-,-,-,32,Millwall FC,,'04/11/2026
West Bromwich Albion FC,A,32,-,-,-,32,Preston North End FC,,'04/18/2026
West Bromwich Albion FC,H,32,-,-,-,32,Watford FC,,'04/21/2026
West Bromwich Albion FC,H,32,-,-,-,32,Ipswich Town FC,,'04/25/2026
West Bromwich Albion FC,A,32,-,-,-,32,Sheffield Wednesday FC,,'05/02/2026
