OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Ipswich Town FC,H,1-1,D,1,08/08/2025
Blackburn Rovers FC,A,2-1,W,4,08/16/2025
Oxford United FC,H,1-0,W,7,08/23/2025
Leicester City FC,A,0-2,L,7,08/29/2025
Stoke City FC,A,0-1,L,7,09/13/2025
Swansea City AFC,H,1-0,W,10,09/20/2025
Coventry City FC,A,0-3,L,10,09/27/2025
Sheffield Wednesday FC,H,2-2,D,11,09/30/2025
Wrexham AFC,A,1-1,D,12,10/03/2025
Hull City AFC,H,2-3,L,12,10/18/2025
Preston North End FC,A,1-0,W,15,10/21/2025
Bristol City FC,A,0-1,L,15,10/25/2025
Portsmouth FC,H,4-0,W,18,11/01/2025
Millwall FC,H,4-0,W,21,11/04/2025
Middlesbrough FC,A,1-2,L,21,11/08/2025
Norwich City FC,H,4-1,W,24,11/22/2025
West Bromwich Albion FC,A,1-1,D,25,11/26/2025
Watford FC,H,2-1,W,28,12/01/2025
Southampton FC,A,1-3,L,28,12/06/2025
Queens Park Rangers FC,A,1-2,L,28,12/09/2025
Charlton Athletic FC,H,1-1,D,29,12/13/2025
Sheffield United FC,A,0-3,L,29,12/20/2025
Derby County FC,H,1-1,D,30,12/26/2025
Southampton FC,H,1-1,D,31,12/29/2025
Watford FC,A,0-3,L,31,01/01/2026
Coventry City FC,H,3-2,W,34,01/04/2026
Swansea City AFC,A,None-None,,34,01/17/2026
Sheffield Wednesday FC,A,None-None,,34,01/20/2026
Stoke City FC,H,None-None,,34,01/24/2026
Oxford United FC,A,None-None,,34,01/31/2026
Leicester City FC,H,None-None,,34,02/07/2026
West Bromwich Albion FC,H,None-None,,34,02/14/2026
Norwich City FC,A,None-None,,34,02/21/2026
Millwall FC,A,None-None,,34,02/25/2026
Middlesbrough FC,H,None-None,,34,03/02/2026
Charlton Athletic FC,A,None-None,,34,03/07/2026
Queens Park Rangers FC,H,None-None,,34,03/10/2026
Sheffield United FC,H,None-None,,34,03/14/2026
Derby County FC,A,None-None,,34,03/21/2026
Blackburn Rovers FC,H,None-None,,34,04/03/2026
Ipswich Town FC,A,None-None,,34,04/06/2026
Wrexham AFC,H,None-None,,34,04/11/2026
Hull City AFC,A,None-None,,34,04/18/2026
Preston North End FC,H,None-None,,34,04/22/2026
Bristol City FC,H,None-None,,34,04/25/2026
Portsmouth FC,A,None-None,,34,05/02/2026
