OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Sheffield United FC,A,4-1,W,3,08/09/2025
Charlton Athletic FC,H,0-0,D,4,08/16/2025
Derby County FC,A,1-1,D,5,08/22/2025
Hull City AFC,H,4-2,W,8,08/30/2025
Sheffield Wednesday FC,A,3-0,W,11,09/13/2025
Oxford United FC,H,1-3,L,11,09/21/2025
Preston North End FC,A,0-0,D,12,09/27/2025
Ipswich Town FC,H,1-1,D,13,09/30/2025
Queens Park Rangers FC,H,1-2,L,13,10/04/2025
Norwich City FC,A,1-0,W,16,10/18/2025
Southampton FC,H,3-1,W,19,10/21/2025
Birmingham City FC,H,1-0,W,22,10/25/2025
Stoke City FC,A,1-5,L,22,11/01/2025
Blackburn Rovers FC,H,0-1,L,22,11/04/2025
Watford FC,A,1-1,D,23,11/07/2025
Swansea City AFC,H,3-0,W,26,11/22/2025
Wrexham AFC,A,0-2,L,26,11/26/2025
Portsmouth FC,A,1-0,W,29,11/29/2025
Millwall FC,H,0-1,L,29,12/06/2025
Leicester City FC,H,2-2,D,30,12/10/2025
Coventry City FC,A,0-1,L,30,12/13/2025
Middlesbrough FC,H,2-0,W,33,12/20/2025
West Bromwich Albion FC,A,2-1,W,36,12/26/2025
Millwall FC,A,1-2,L,36,12/29/2025
Portsmouth FC,H,5-0,W,39,01/01/2026
Preston North End FC,H,0-2,L,39,01/04/2026
Oxford United FC,A,None-None,,39,01/17/2026
Ipswich Town FC,A,None-None,,39,01/20/2026
Sheffield Wednesday FC,H,None-None,,39,01/24/2026
Derby County FC,H,None-None,,39,01/30/2026
Hull City AFC,A,None-None,,39,02/07/2026
Wrexham AFC,H,None-None,,39,02/13/2026
Swansea City AFC,A,None-None,,39,02/21/2026
Blackburn Rovers FC,A,None-None,,39,02/24/2026
Watford FC,H,None-None,,39,02/27/2026
Coventry City FC,H,None-None,,39,03/07/2026
Leicester City FC,A,None-None,,39,03/10/2026
Middlesbrough FC,A,None-None,,39,03/14/2026
West Bromwich Albion FC,H,None-None,,39,03/21/2026
Charlton Athletic FC,A,None-None,,39,04/03/2026
Sheffield United FC,H,None-None,,39,04/06/2026
Queens Park Rangers FC,A,None-None,,39,04/11/2026
Norwich City FC,H,None-None,,39,04/18/2026
Southampton FC,A,None-None,,39,04/21/2026
Birmingham City FC,A,None-None,,39,04/25/2026
Stoke City FC,H,None-None,,39,05/02/2026
