OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Watford FC,H,1-0,W,3,08/09/2025
Bristol City FC,A,0-0,D,4,08/16/2025
Leicester City FC,H,0-1,L,4,08/23/2025
Queens Park Rangers FC,A,1-3,L,4,08/30/2025
Millwall FC,H,1-1,D,5,09/13/2025
Sheffield United FC,A,1-0,W,8,09/20/2025
Blackburn Rovers FC,H,3-0,W,11,09/27/2025
Derby County FC,A,1-1,D,12,09/30/2025
Preston North End FC,A,0-2,L,12,10/04/2025
Sheffield Wednesday FC,H,2-1,W,15,10/18/2025
Ipswich Town FC,A,3-0,W,18,10/21/2025
Hull City AFC,A,1-1,D,19,10/25/2025
Swansea City AFC,H,1-1,D,20,11/01/2025
West Bromwich Albion FC,H,1-0,W,23,11/04/2025
Wrexham AFC,A,0-1,L,23,11/08/2025
Southampton FC,H,1-5,L,23,11/22/2025
Stoke City FC,A,0-3,L,23,11/25/2025
Coventry City FC,A,1-3,L,23,11/29/2025
Portsmouth FC,H,0-0,,23,12/06/2025
Middlesbrough FC,H,1-2,L,23,12/09/2025
Birmingham City FC,A,1-1,D,24,12/13/2025
Oxford United FC,H,1-0,W,27,12/20/2025
Norwich City FC,A,0-1,L,27,12/26/2025
Portsmouth FC,A,1-2,L,27,12/29/2025
Coventry City FC,H,1-1,D,28,01/01/2026
Blackburn Rovers FC,A,2-2,D,29,01/04/2026
Sheffield United FC,H,None-None,,29,01/17/2026
Derby County FC,H,None-None,,29,01/20/2026
Millwall FC,A,None-None,,29,01/24/2026
Leicester City FC,A,None-None,,29,01/31/2026
Queens Park Rangers FC,H,None-None,,29,02/06/2026
Stoke City FC,H,None-None,,29,02/14/2026
Southampton FC,A,None-None,,29,02/21/2026
West Bromwich Albion FC,A,None-None,,29,02/24/2026
Wrexham AFC,H,None-None,,29,02/28/2026
Birmingham City FC,H,None-None,,29,03/07/2026
Middlesbrough FC,A,None-None,,29,03/11/2026
Oxford United FC,A,None-None,,29,03/14/2026
Norwich City FC,H,None-None,,29,03/21/2026
Bristol City FC,H,None-None,,29,04/03/2026
Watford FC,A,None-None,,29,04/06/2026
Preston North End FC,H,None-None,,29,04/11/2026
Sheffield Wednesday FC,A,None-None,,29,04/18/2026
Ipswich Town FC,H,None-None,,29,04/22/2026
Hull City AFC,H,None-None,,29,04/25/2026
Swansea City AFC,A,None-None,,29,05/02/2026
