OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Hull City AFC,H,0-0,D,1,08/09/2025
Derby County FC,A,5-3,W,4,08/16/2025
Queens Park Rangers FC,H,7-1,W,7,08/23/2025
Oxford United FC,A,2-2,D,8,08/30/2025
Norwich City FC,H,1-1,D,9,09/13/2025
Leicester City FC,A,0-0,D,10,09/20/2025
Birmingham City FC,H,3-0,W,13,09/27/2025
Millwall FC,A,4-0,W,16,10/01/2025
Sheffield Wednesday FC,A,5-0,W,19,10/04/2025
Blackburn Rovers FC,H,2-0,W,22,10/18/2025
Portsmouth FC,A,2-1,W,25,10/21/2025
Watford FC,H,3-1,W,28,10/25/2025
Wrexham AFC,A,2-3,L,28,10/31/2025
Sheffield United FC,H,3-1,W,31,11/04/2025
Stoke City FC,A,1-0,W,34,11/08/2025
West Bromwich Albion FC,H,3-2,W,37,11/22/2025
Middlesbrough FC,A,4-2,W,40,11/25/2025
Charlton Athletic FC,H,3-1,W,43,11/29/2025
Ipswich Town FC,A,0-3,L,43,12/06/2025
Preston North End FC,A,1-1,D,44,12/09/2025
Bristol City FC,H,1-0,W,47,12/13/2025
Southampton FC,A,1-1,D,48,12/20/2025
Swansea City AFC,H,1-0,W,51,12/26/2025
Ipswich Town FC,H,0-2,L,51,12/29/2025
Charlton Athletic FC,A,1-1,D,52,01/01/2026
Birmingham City FC,A,2-3,L,52,01/04/2026
Leicester City FC,H,None-None,,52,01/17/2026
Millwall FC,H,None-None,,52,01/20/2026
Norwich City FC,A,None-None,,52,01/26/2026
Queens Park Rangers FC,A,None-None,,52,01/31/2026
Oxford United FC,H,None-None,,52,02/07/2026
Middlesbrough FC,H,None-None,,52,02/16/2026
West Bromwich Albion FC,A,None-None,,52,02/21/2026
Sheffield United FC,A,None-None,,52,02/25/2026
Stoke City FC,H,None-None,,52,02/28/2026
Bristol City FC,A,None-None,,52,03/07/2026
Preston North End FC,H,None-None,,52,03/11/2026
Southampton FC,H,None-None,,52,03/14/2026
Swansea City AFC,A,None-None,,52,03/21/2026
Derby County FC,H,None-None,,52,04/03/2026
Hull City AFC,A,None-None,,52,04/06/2026
Sheffield Wednesday FC,H,None-None,,52,04/11/2026
Blackburn Rovers FC,A,None-None,,52,04/18/2026
Portsmouth FC,H,None-None,,52,04/21/2026
Wrexham AFC,H,None-None,,52,04/25/2026
Watford FC,A,None-None,,52,05/02/2026
