OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Stoke City FC,A,1-3,L,0,08/09/2025
Coventry City FC,H,3-5,L,0,08/16/2025
Bristol City FC,H,1-1,D,1,08/22/2025
Ipswich Town FC,A,2-2,D,2,08/30/2025
West Bromwich Albion FC,A,1-0,W,5,09/13/2025
Preston North End FC,H,0-1,L,5,09/20/2025
Wrexham AFC,A,1-1,D,6,09/27/2025
Charlton Athletic FC,H,1-1,D,7,09/30/2025
Southampton FC,H,1-1,D,8,10/04/2025
Oxford United FC,A,0-1,L,8,10/18/2025
Norwich City FC,H,1-0,W,11,10/21/2025
Queens Park Rangers FC,H,1-0,W,14,10/25/2025
Sheffield United FC,A,3-1,W,17,11/01/2025
Hull City AFC,H,2-1,W,20,11/04/2025
Blackburn Rovers FC,A,2-1,W,23,11/08/2025
Watford FC,H,2-3,L,23,11/22/2025
Swansea City AFC,A,2-1,W,26,11/25/2025
Middlesbrough FC,A,1-2,L,26,11/29/2025
Leicester City FC,H,1-3,L,26,12/06/2025
Millwall FC,H,1-1,D,27,12/10/2025
Sheffield Wednesday FC,A,3-0,W,30,12/15/2025
Portsmouth FC,H,1-1,D,31,12/20/2025
Birmingham City FC,A,1-1,D,32,12/26/2025
Leicester City FC,A,1-2,L,32,12/29/2025
Middlesbrough FC,H,1-0,W,35,01/01/2026
Wrexham AFC,H,1-2,L,35,01/04/2026
Preston North End FC,A,None-None,,35,01/17/2026
Charlton Athletic FC,A,None-None,,35,01/20/2026
West Bromwich Albion FC,H,None-None,,35,01/23/2026
Bristol City FC,A,None-None,,35,01/30/2026
Ipswich Town FC,H,None-None,,35,02/07/2026
Swansea City AFC,H,None-None,,35,02/14/2026
Watford FC,A,None-None,,35,02/21/2026
Hull City AFC,A,None-None,,35,02/24/2026
Blackburn Rovers FC,H,None-None,,35,02/28/2026
Sheffield Wednesday FC,H,None-None,,35,03/07/2026
Millwall FC,A,None-None,,35,03/10/2026
Portsmouth FC,A,None-None,,35,03/14/2026
Birmingham City FC,H,None-None,,35,03/21/2026
Coventry City FC,A,None-None,,35,04/03/2026
Stoke City FC,H,None-None,,35,04/06/2026
Southampton FC,A,None-None,,35,04/11/2026
Oxford United FC,H,None-None,,35,04/18/2026
Norwich City FC,A,None-None,,35,04/21/2026
Queens Park Rangers FC,A,None-None,,35,04/25/2026
Sheffield United FC,H,None-None,,35,05/02/2026
