OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Coventry City FC,A,0-0,D,1,08/09/2025
Oxford United FC,H,3-2,W,4,08/17/2025
Blackburn Rovers FC,H,0-3,L,4,08/23/2025
Bristol City FC,A,2-4,L,4,08/30/2025
Swansea City AFC,A,2-2,D,5,09/13/2025
Southampton FC,H,3-1,W,8,09/20/2025
Watford FC,A,1-2,L,8,09/27/2025
Preston North End FC,H,2-2,D,9,09/30/2025
Sheffield United FC,H,1-0,W,12,10/04/2025
Birmingham City FC,A,3-2,W,15,10/18/2025
Leicester City FC,H,2-1,W,18,10/21/2025
Charlton Athletic FC,H,1-1,D,19,10/25/2025
Norwich City FC,A,2-0,W,22,11/01/2025
Derby County FC,A,1-2,L,22,11/04/2025
Portsmouth FC,H,3-2,W,25,11/08/2025
Queens Park Rangers FC,A,2-3,L,25,11/22/2025
Ipswich Town FC,H,0-2,L,25,11/25/2025
Stoke City FC,A,2-1,W,28,11/29/2025
Middlesbrough FC,H,1-4,L,28,12/05/2025
Wrexham AFC,H,2-0,W,31,12/10/2025
Millwall FC,A,3-1,W,34,12/13/2025
West Bromwich Albion FC,H,1-0,W,37,12/20/2025
Sheffield Wednesday FC,A,2-2,D,38,12/26/2025
Middlesbrough FC,A,1-0,W,41,12/29/2025
Stoke City FC,H,0-1,L,41,01/01/2026
Watford FC,H,0-0,,41,01/04/2026
Southampton FC,A,None-None,,41,01/17/2026
Preston North End FC,A,None-None,,41,01/20/2026
Swansea City AFC,H,None-None,,41,01/24/2026
Blackburn Rovers FC,A,None-None,,41,01/31/2026
Bristol City FC,H,None-None,,41,02/07/2026
Ipswich Town FC,A,None-None,,41,02/14/2026
Queens Park Rangers FC,H,None-None,,41,02/21/2026
Derby County FC,H,None-None,,41,02/24/2026
Portsmouth FC,A,None-None,,41,02/28/2026
Millwall FC,H,None-None,,41,03/07/2026
Wrexham AFC,A,None-None,,41,03/10/2026
West Bromwich Albion FC,A,None-None,,41,03/14/2026
Sheffield Wednesday FC,H,None-None,,41,03/21/2026
Oxford United FC,A,None-None,,41,04/03/2026
Coventry City FC,H,None-None,,41,04/06/2026
Sheffield United FC,A,None-None,,41,04/11/2026
Birmingham City FC,H,None-None,,41,04/18/2026
Leicester City FC,A,None-None,,41,04/22/2026
Charlton Athletic FC,A,None-None,,41,04/25/2026
Norwich City FC,H,None-None,,41,05/02/2026
