OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Birmingham City FC,A,1-1,D,1,08/08/2025
Southampton FC,H,1-1,D,2,08/17/2025
Preston North End FC,A,0-1,L,2,08/23/2025
Derby County FC,H,2-2,D,3,08/30/2025
Sheffield United FC,H,5-0,W,6,09/12/2025
Portsmouth FC,H,2-1,W,9,09/27/2025
Bristol City FC,A,1-1,D,10,09/30/2025
Norwich City FC,H,3-1,W,13,10/05/2025
Middlesbrough FC,A,1-2,L,13,10/17/2025
Charlton Athletic FC,H,0-3,L,13,10/21/2025
West Bromwich Albion FC,H,1-0,W,16,10/25/2025
Queens Park Rangers FC,A,4-1,W,19,11/01/2025
Watford FC,H,1-1,D,20,11/04/2025
Swansea City AFC,A,4-1,W,23,11/08/2025
Wrexham AFC,H,0-0,D,24,11/22/2025
Hull City AFC,A,2-0,W,27,11/25/2025
Oxford United FC,A,1-2,L,27,11/28/2025
Blackburn Rovers FC,A,1-1,D,28,12/02/2025
Coventry City FC,H,3-0,W,31,12/06/2025
Stoke City FC,H,1-0,W,34,12/10/2025
Leicester City FC,A,1-3,L,34,12/13/2025
Sheffield Wednesday FC,H,3-1,W,37,12/20/2025
Millwall FC,A,0-0,D,38,12/26/2025
Coventry City FC,A,2-0,W,41,12/29/2025
Oxford United FC,H,2-1,W,44,01/01/2026
Blackburn Rovers FC,H,None-None,,44,01/17/2026
Bristol City FC,H,None-None,,44,01/20/2026
Sheffield United FC,A,None-None,,44,01/24/2026
Preston North End FC,H,None-None,,44,01/31/2026
Portsmouth FC,A,None-None,,44,02/03/2026
Derby County FC,A,None-None,,44,02/07/2026
Hull City AFC,H,None-None,,44,02/14/2026
Wrexham AFC,A,None-None,,44,02/21/2026
Watford FC,A,None-None,,44,02/24/2026
Swansea City AFC,H,None-None,,44,02/28/2026
Leicester City FC,H,None-None,,44,03/07/2026
Stoke City FC,A,None-None,,44,03/10/2026
Sheffield Wednesday FC,A,None-None,,44,03/14/2026
Millwall FC,H,None-None,,44,03/21/2026
Southampton FC,A,None-None,,44,04/03/2026
Birmingham City FC,H,None-None,,44,04/06/2026
Norwich City FC,A,None-None,,44,04/11/2026
Middlesbrough FC,H,None-None,,44,04/18/2026
Charlton Athletic FC,A,None-None,,44,04/22/2026
West Bromwich Albion FC,A,None-None,,44,04/25/2026
Queens Park Rangers FC,H,None-None,,44,05/02/2026
