OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Sheffield Wednesday FC,H,2-1,W,3,08/10/2025
Preston North End FC,A,1-2,L,3,08/16/2025
Charlton Athletic FC,A,1-0,W,6,08/23/2025
Birmingham City FC,H,2-0,W,9,08/29/2025
Oxford United FC,A,2-2,D,10,09/13/2025
Coventry City FC,H,0-0,D,11,09/20/2025
West Bromwich Albion FC,A,1-1,D,12,09/26/2025
Wrexham AFC,H,1-1,D,13,09/30/2025
Swansea City AFC,A,3-1,W,16,10/04/2025
Portsmouth FC,H,1-1,D,17,10/18/2025
Hull City AFC,A,1-2,L,17,10/21/2025
Millwall FC,A,0-1,L,17,10/25/2025
Blackburn Rovers FC,H,0-2,L,17,11/01/2025
Middlesbrough FC,H,1-1,D,18,11/04/2025
Norwich City FC,A,2-1,W,21,11/08/2025
Stoke City FC,H,2-1,W,24,11/22/2025
Southampton FC,A,0-3,L,24,11/25/2025
Sheffield United FC,H,2-3,L,24,11/29/2025
Derby County FC,A,3-1,W,27,12/06/2025
Bristol City FC,A,2-2,D,28,12/10/2025
Ipswich Town FC,H,3-1,W,31,12/13/2025
Queens Park Rangers FC,A,1-4,L,31,12/20/2025
Watford FC,H,1-2,L,31,12/26/2025
Derby County FC,H,2-1,W,34,12/29/2025
Sheffield United FC,A,1-3,L,34,01/01/2026
West Bromwich Albion FC,H,2-1,W,37,01/05/2026
Coventry City FC,A,None-None,,37,01/17/2026
Wrexham AFC,A,None-None,,37,01/20/2026
Oxford United FC,H,None-None,,37,01/24/2026
Charlton Athletic FC,H,None-None,,37,01/31/2026
Birmingham City FC,A,None-None,,37,02/07/2026
Southampton FC,H,None-None,,37,02/14/2026
Stoke City FC,A,None-None,,37,02/21/2026
Middlesbrough FC,A,None-None,,37,02/24/2026
Norwich City FC,H,None-None,,37,02/28/2026
Ipswich Town FC,A,None-None,,37,03/07/2026
Bristol City FC,H,None-None,,37,03/10/2026
Queens Park Rangers FC,H,None-None,,37,03/14/2026
Watford FC,A,None-None,,37,03/21/2026
Preston North End FC,H,None-None,,37,04/03/2026
Sheffield Wednesday FC,A,None-None,,37,04/06/2026
Swansea City AFC,H,None-None,,37,04/11/2026
Portsmouth FC,A,None-None,,37,04/18/2026
Hull City AFC,H,None-None,,37,04/22/2026
Millwall FC,H,None-None,,37,04/25/2026
Blackburn Rovers FC,A,None-None,,37,05/02/2026
