OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Norwich City FC,A,2-1,W,3,08/09/2025
Middlesbrough FC,H,0-3,L,3,08/16/2025
Sheffield United FC,A,1-0,W,6,08/23/2025
Wrexham AFC,H,0-2,L,6,08/30/2025
Charlton Athletic FC,A,1-1,D,7,09/13/2025
Watford FC,H,1-0,W,10,09/22/2025
Swansea City AFC,A,1-1,D,11,09/27/2025
Coventry City FC,H,0-4,L,11,10/01/2025
West Bromwich Albion FC,H,3-0,W,14,10/04/2025
Queens Park Rangers FC,A,2-1,W,17,10/18/2025
Stoke City FC,H,2-0,W,20,10/21/2025
Leicester City FC,H,1-0,W,23,10/25/2025
Oxford United FC,A,2-2,D,24,11/01/2025
Birmingham City FC,A,0-4,L,24,11/04/2025
Preston North End FC,H,1-1,D,25,11/08/2025
Portsmouth FC,A,1-3,L,25,11/22/2025
Sheffield Wednesday FC,H,1-0,W,28,11/26/2025
Southampton FC,H,3-2,W,31,11/29/2025
Bristol City FC,A,1-0,W,34,12/06/2025
Derby County FC,A,1-1,D,35,12/10/2025
Hull City AFC,H,1-3,L,35,12/13/2025
Blackburn Rovers FC,A,0-2,L,35,12/20/2025
Ipswich Town FC,H,0-0,D,36,12/26/2025
Bristol City FC,H,2-1,W,39,12/29/2025
Southampton FC,A,0-0,D,40,01/01/2026
Swansea City AFC,H,2-1,W,43,01/04/2026
Watford FC,A,None-None,,43,01/17/2026
Coventry City FC,A,None-None,,43,01/20/2026
Charlton Athletic FC,H,None-None,,43,01/24/2026
Sheffield United FC,H,None-None,,43,01/31/2026
Wrexham AFC,A,None-None,,43,02/07/2026
Sheffield Wednesday FC,A,None-None,,43,02/14/2026
Portsmouth FC,H,None-None,,43,02/21/2026
Birmingham City FC,H,None-None,,43,02/25/2026
Preston North End FC,A,None-None,,43,02/28/2026
Hull City AFC,A,None-None,,43,03/07/2026
Derby County FC,H,None-None,,43,03/10/2026
Blackburn Rovers FC,H,None-None,,43,03/14/2026
Ipswich Town FC,A,None-None,,43,03/21/2026
Middlesbrough FC,A,None-None,,43,04/03/2026
Norwich City FC,H,None-None,,43,04/06/2026
West Bromwich Albion FC,A,None-None,,43,04/11/2026
Queens Park Rangers FC,H,None-None,,43,04/18/2026
Stoke City FC,A,None-None,,43,04/21/2026
Leicester City FC,A,None-None,,43,04/25/2026
Oxford United FC,H,None-None,,43,05/02/2026
