OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Portsmouth FC,H,0-1,L,0,08/09/2025
Hull City AFC,A,2-3,L,0,08/17/2025
Birmingham City FC,A,0-1,L,0,08/23/2025
Coventry City FC,H,2-2,D,1,08/30/2025
Leicester City FC,H,2-2,D,2,09/13/2025
Bristol City FC,A,3-1,W,5,09/21/2025
Sheffield United FC,H,0-1,L,5,09/27/2025
Queens Park Rangers FC,A,0-0,D,6,10/01/2025
Watford FC,A,1-2,L,6,10/04/2025
Derby County FC,H,1-0,W,9,10/18/2025
Wrexham AFC,A,0-1,L,9,10/22/2025
Sheffield Wednesday FC,A,2-1,W,12,10/25/2025
Millwall FC,H,2-2,D,13,11/01/2025
Stoke City FC,H,0-3,L,13,11/04/2025
West Bromwich Albion FC,A,1-2,L,13,11/08/2025
Middlesbrough FC,H,1-1,D,14,11/22/2025
Norwich City FC,A,1-1,D,15,11/25/2025
Ipswich Town FC,H,2-1,W,18,11/28/2025
Swansea City AFC,A,0-2,L,18,12/06/2025
Blackburn Rovers FC,A,1-1,D,19,12/09/2025
Preston North End FC,H,1-2,L,19,12/13/2025
Charlton Athletic FC,A,0-1,L,19,12/20/2025
Southampton FC,H,2-1,W,22,12/26/2025
Swansea City AFC,H,0-1,L,22,12/29/2025
Ipswich Town FC,A,1-2,L,22,01/01/2026
Sheffield United FC,A,0-0,,22,01/04/2026
Bristol City FC,H,None-None,,22,01/17/2026
Queens Park Rangers FC,H,None-None,,22,01/20/2026
Leicester City FC,A,None-None,,22,01/24/2026
Birmingham City FC,H,None-None,,22,01/31/2026
Coventry City FC,A,None-None,,22,02/07/2026
Norwich City FC,H,None-None,,22,02/14/2026
Middlesbrough FC,A,None-None,,22,02/21/2026
Stoke City FC,A,None-None,,22,02/25/2026
West Bromwich Albion FC,H,None-None,,22,02/28/2026
Preston North End FC,A,None-None,,22,03/07/2026
Blackburn Rovers FC,H,None-None,,22,03/11/2026
Charlton Athletic FC,H,None-None,,22,03/14/2026
Southampton FC,A,None-None,,22,03/21/2026
Hull City AFC,H,None-None,,22,04/03/2026
Portsmouth FC,A,None-None,,22,04/06/2026
Watford FC,H,None-None,,22,04/11/2026
Derby County FC,A,None-None,,22,04/18/2026
Wrexham AFC,H,None-None,,22,04/21/2026
Sheffield Wednesday FC,H,None-None,,22,04/25/2026
Millwall FC,A,None-None,,22,05/02/2026
