OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Oxford United FC,A,1-0,W,3,08/09/2025
Norwich City FC,H,1-2,L,3,08/16/2025
West Bromwich Albion FC,A,1-1,D,4,08/23/2025
Preston North End FC,H,1-0,W,7,08/30/2025
Southampton FC,A,0-0,D,8,09/14/2025
Sheffield Wednesday FC,H,0-2,L,8,09/20/2025
Ipswich Town FC,A,1-2,L,8,09/27/2025
Watford FC,H,2-2,D,9,10/01/2025
Middlesbrough FC,H,1-0,W,12,10/04/2025
Leicester City FC,A,1-1,D,13,10/18/2025
Coventry City FC,H,1-2,L,13,10/21/2025
Stoke City FC,H,0-1,L,13,10/25/2025
Birmingham City FC,A,0-4,L,13,11/01/2025
Wrexham AFC,H,0-0,D,14,11/05/2025
Hull City AFC,A,2-3,L,14,11/08/2025
Millwall FC,H,3-1,W,17,11/22/2025
Sheffield United FC,A,0-3,L,17,11/26/2025
Bristol City FC,H,0-1,L,17,11/29/2025
Charlton Athletic FC,A,0-0,,17,12/06/2025
Swansea City AFC,A,0-1,L,17,12/09/2025
Blackburn Rovers FC,H,2-1,W,20,12/13/2025
Derby County FC,A,1-1,D,21,12/20/2025
Queens Park Rangers FC,H,1-1,D,22,12/26/2025
Charlton Athletic FC,H,2-1,W,25,12/29/2025
Bristol City FC,A,0-5,L,25,01/01/2026
Sheffield Wednesday FC,A,None-None,,25,01/17/2026
Watford FC,A,None-None,,25,01/21/2026
Southampton FC,H,None-None,,25,01/25/2026
West Bromwich Albion FC,H,None-None,,25,01/31/2026
Ipswich Town FC,H,None-None,,25,02/03/2026
Preston North End FC,A,None-None,,25,02/07/2026
Sheffield United FC,H,None-None,,25,02/14/2026
Millwall FC,A,None-None,,25,02/21/2026
Wrexham AFC,A,None-None,,25,02/24/2026
Hull City AFC,H,None-None,,25,02/28/2026
Blackburn Rovers FC,A,None-None,,25,03/07/2026
Swansea City AFC,H,None-None,,25,03/10/2026
Derby County FC,H,None-None,,25,03/14/2026
Queens Park Rangers FC,A,None-None,,25,03/21/2026
Norwich City FC,A,None-None,,25,04/03/2026
Oxford United FC,H,None-None,,25,04/06/2026
Middlesbrough FC,A,None-None,,25,04/11/2026
Leicester City FC,H,None-None,,25,04/18/2026
Coventry City FC,A,None-None,,25,04/21/2026
Stoke City FC,A,None-None,,25,04/25/2026
Birmingham City FC,H,None-None,,25,05/02/2026
