OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Queens Park Rangers FC,A,1-1,D,1,08/09/2025
Leicester City FC,H,2-1,W,4,08/16/2025
Ipswich Town FC,H,1-0,W,7,08/23/2025
Portsmouth FC,A,0-1,L,7,08/30/2025
Middlesbrough FC,H,2-2,D,8,09/13/2025
Derby County FC,A,1-0,W,11,09/20/2025
Bristol City FC,H,0-0,D,12,09/27/2025
Hull City AFC,A,2-2,D,13,09/30/2025
Charlton Athletic FC,H,2-0,W,16,10/04/2025
West Bromwich Albion FC,A,1-2,L,16,10/18/2025
Birmingham City FC,H,0-1,L,16,10/21/2025
Sheffield United FC,H,3-2,W,19,10/24/2025
Southampton FC,A,2-0,W,22,11/01/2025
Swansea City AFC,H,2-1,W,25,11/05/2025
Millwall FC,A,1-1,D,26,11/08/2025
Blackburn Rovers FC,H,1-2,L,26,11/21/2025
Watford FC,A,1-1,D,27,11/25/2025
Sheffield Wednesday FC,A,3-2,W,30,11/29/2025
Wrexham AFC,H,1-1,D,31,12/06/2025
Coventry City FC,H,1-1,D,32,12/09/2025
Oxford United FC,A,2-1,W,35,12/13/2025
Norwich City FC,H,1-1,D,36,12/20/2025
Stoke City FC,A,0-0,D,37,12/26/2025
Wrexham AFC,A,1-2,L,37,12/29/2025
Sheffield Wednesday FC,H,3-0,W,40,01/01/2026
Bristol City FC,A,2-0,W,43,01/04/2026
Derby County FC,H,None-None,,43,01/17/2026
Hull City AFC,H,None-None,,43,01/20/2026
Middlesbrough FC,A,None-None,,43,01/24/2026
Ipswich Town FC,A,None-None,,43,01/31/2026
Portsmouth FC,H,None-None,,43,02/07/2026
Watford FC,H,None-None,,43,02/14/2026
Blackburn Rovers FC,A,None-None,,43,02/20/2026
Swansea City AFC,A,None-None,,43,02/24/2026
Millwall FC,H,None-None,,43,02/28/2026
Oxford United FC,H,None-None,,43,03/07/2026
Coventry City FC,A,None-None,,43,03/11/2026
Norwich City FC,A,None-None,,43,03/14/2026
Stoke City FC,H,None-None,,43,03/21/2026
Leicester City FC,A,None-None,,43,04/03/2026
Queens Park Rangers FC,H,None-None,,43,04/06/2026
Charlton Athletic FC,A,None-None,,43,04/11/2026
West Bromwich Albion FC,H,None-None,,43,04/18/2026
Birmingham City FC,A,None-None,,43,04/22/2026
Sheffield United FC,A,None-None,,43,04/25/2026
Southampton FC,H,None-None,,43,05/02/2026
