OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Bristol City FC,H,1-4,L,0,08/09/2025
Swansea City AFC,A,0-1,L,0,08/16/2025
Millwall FC,H,0-1,L,0,08/23/2025
Middlesbrough FC,A,0-1,L,0,08/30/2025
Ipswich Town FC,A,0-5,L,0,09/12/2025
Charlton Athletic FC,H,0-1,L,0,09/20/2025
Oxford United FC,A,1-0,W,3,09/27/2025
Southampton FC,H,1-2,L,3,09/30/2025
Hull City AFC,A,0-1,L,3,10/04/2025
Watford FC,H,1-0,W,6,10/18/2025
Blackburn Rovers FC,A,3-1,W,9,10/21/2025
Preston North End FC,A,2-3,L,9,10/24/2025
Derby County FC,H,1-3,L,9,11/01/2025
Coventry City FC,A,1-3,L,9,11/04/2025
Queens Park Rangers FC,H,0-0,D,10,11/08/2025
Sheffield Wednesday FC,A,3-0,W,13,11/23/2025
Portsmouth FC,H,3-0,W,16,11/26/2025
Leicester City FC,A,3-2,W,19,11/29/2025
Stoke City FC,H,4-0,W,22,12/06/2025
Norwich City FC,H,1-1,D,23,12/09/2025
West Bromwich Albion FC,A,0-2,L,23,12/12/2025
Birmingham City FC,H,3-0,W,26,12/20/2025
Wrexham AFC,A,3-5,L,26,12/26/2025
Stoke City FC,A,2-1,W,29,12/29/2025
Leicester City FC,H,3-1,W,32,01/01/2026
Oxford United FC,H,0-0,,32,01/04/2026
Charlton Athletic FC,A,None-None,,32,01/17/2026
Southampton FC,A,None-None,,32,01/21/2026
Ipswich Town FC,H,None-None,,32,01/24/2026
Millwall FC,A,None-None,,32,01/31/2026
Middlesbrough FC,H,None-None,,32,02/09/2026
Portsmouth FC,A,None-None,,32,02/14/2026
Sheffield Wednesday FC,H,None-None,,32,02/22/2026
Coventry City FC,H,None-None,,32,02/25/2026
Queens Park Rangers FC,A,None-None,,32,02/28/2026
West Bromwich Albion FC,H,None-None,,32,03/07/2026
Norwich City FC,A,None-None,,32,03/10/2026
Birmingham City FC,A,None-None,,32,03/14/2026
Wrexham AFC,H,None-None,,32,03/21/2026
Swansea City AFC,H,None-None,,32,04/03/2026
Bristol City FC,A,None-None,,32,04/06/2026
Hull City AFC,H,None-None,,32,04/11/2026
Watford FC,A,None-None,,32,04/18/2026
Blackburn Rovers FC,H,None-None,,32,04/22/2026
Preston North End FC,H,None-None,,32,04/25/2026
Derby County FC,A,None-None,,32,05/02/2026
