OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Leicester City FC,A,1-2,L,0,08/10/2025
Stoke City FC,H,0-3,L,0,08/16/2025
Wrexham AFC,A,2-2,D,1,08/23/2025
Swansea City AFC,H,0-2,L,1,08/30/2025
Bristol City FC,H,0-3,L,1,09/13/2025
Portsmouth FC,A,2-0,W,4,09/20/2025
Queens Park Rangers FC,H,1-1,D,5,09/27/2025
Birmingham City FC,A,2-2,D,6,09/30/2025
Coventry City FC,H,0-5,L,6,10/04/2025
Charlton Athletic FC,A,1-2,L,6,10/18/2025
Middlesbrough FC,H,0-1,L,6,10/22/2025
Oxford United FC,H,1-2,L,6,10/25/2025
West Bromwich Albion FC,A,0-0,D,7,11/01/2025
Norwich City FC,H,1-1,D,8,11/05/2025
Southampton FC,A,1-3,L,8,11/08/2025
Sheffield United FC,H,0-3,L,8,11/23/2025
Millwall FC,A,0-1,L,8,11/26/2025
Preston North End FC,H,2-3,L,8,11/29/2025
Blackburn Rovers FC,A,0-1,,8,12/06/2025
Watford FC,A,1-1,D,9,12/09/2025
Derby County FC,H,0-3,L,9,12/15/2025
Ipswich Town FC,A,1-3,L,9,12/20/2025
Hull City AFC,H,2-2,D,10,12/26/2025
Blackburn Rovers FC,H,0-0,D,11,12/29/2025
Preston North End FC,A,0-3,L,11,01/01/2026
Queens Park Rangers FC,A,0-3,L,11,01/04/2026
Portsmouth FC,H,None-None,,11,01/17/2026
Birmingham City FC,H,None-None,,11,01/20/2026
Bristol City FC,A,None-None,,11,01/24/2026
Wrexham AFC,H,None-None,,11,01/31/2026
Swansea City AFC,A,None-None,,11,02/08/2026
Millwall FC,H,None-None,,11,02/14/2026
Sheffield United FC,A,None-None,,11,02/22/2026
Norwich City FC,A,None-None,,11,02/25/2026
Southampton FC,H,None-None,,11,02/28/2026
Derby County FC,A,None-None,,11,03/07/2026
Watford FC,H,None-None,,11,03/10/2026
Ipswich Town FC,H,None-None,,11,03/14/2026
Hull City AFC,A,None-None,,11,03/21/2026
Stoke City FC,A,None-None,,11,04/03/2026
Leicester City FC,H,None-None,,11,04/06/2026
Coventry City FC,A,None-None,,11,04/11/2026
Charlton Athletic FC,H,None-None,,11,04/18/2026
Middlesbrough FC,A,None-None,,11,04/21/2026
Oxford United FC,A,None-None,,11,04/25/2026
West Bromwich Albion FC,H,None-None,,11,05/02/2026
