OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Wrexham AFC,H,2-1,W,3,08/09/2025
Ipswich Town FC,A,1-1,D,4,08/17/2025
Stoke City FC,H,1-2,L,4,08/23/2025
Watford FC,A,2-2,D,5,08/30/2025
Portsmouth FC,H,0-0,D,6,09/14/2025
Hull City AFC,A,1-3,L,6,09/20/2025
Middlesbrough FC,H,1-1,D,7,09/27/2025
Sheffield United FC,A,2-1,W,10,09/30/2025
Derby County FC,A,1-1,D,11,10/04/2025
Swansea City AFC,H,0-0,D,12,10/18/2025
Bristol City FC,A,1-3,L,12,10/21/2025
Blackburn Rovers FC,A,1-2,L,12,10/25/2025
Preston North End FC,H,0-2,L,12,11/01/2025
Queens Park Rangers FC,A,2-1,W,15,11/05/2025
Sheffield Wednesday FC,H,3-1,W,18,11/08/2025
Charlton Athletic FC,A,5-1,W,21,11/22/2025
Leicester City FC,H,3-0,W,24,11/25/2025
Millwall FC,A,2-3,L,24,11/29/2025
Birmingham City FC,H,3-1,W,27,12/06/2025
West Bromwich Albion FC,H,3-2,W,30,12/09/2025
Norwich City FC,A,1-2,L,30,12/13/2025
Coventry City FC,H,1-1,D,31,12/20/2025
Oxford United FC,A,1-2,L,31,12/26/2025
Birmingham City FC,A,1-1,D,32,12/29/2025
Millwall FC,H,0-0,D,33,01/01/2026
Middlesbrough FC,A,0-4,L,33,01/04/2026
Hull City AFC,H,None-None,,33,01/17/2026
Sheffield United FC,H,None-None,,33,01/21/2026
Portsmouth FC,A,None-None,,33,01/25/2026
Stoke City FC,A,None-None,,33,01/31/2026
Watford FC,H,None-None,,33,02/07/2026
Leicester City FC,A,None-None,,33,02/14/2026
Charlton Athletic FC,H,None-None,,33,02/21/2026
Queens Park Rangers FC,H,None-None,,33,02/24/2026
Sheffield Wednesday FC,A,None-None,,33,02/28/2026
Norwich City FC,H,None-None,,33,03/07/2026
West Bromwich Albion FC,A,None-None,,33,03/11/2026
Coventry City FC,A,None-None,,33,03/14/2026
Oxford United FC,H,None-None,,33,03/21/2026
Ipswich Town FC,H,None-None,,33,04/03/2026
Wrexham AFC,A,None-None,,33,04/06/2026
Derby County FC,H,None-None,,33,04/11/2026
Swansea City AFC,A,None-None,,33,04/18/2026
Bristol City FC,H,None-None,,33,04/21/2026
Blackburn Rovers FC,H,None-None,,33,04/25/2026
Preston North End FC,A,None-None,,33,05/02/2026
