OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Derby County FC,H,3-1,W,3,08/09/2025
Sheffield Wednesday FC,A,3-0,W,6,08/16/2025
Southampton FC,A,2-1,W,9,08/23/2025
West Bromwich Albion FC,H,0-1,L,9,08/30/2025
Birmingham City FC,H,1-0,W,12,09/13/2025
Queens Park Rangers FC,A,0-1,L,12,09/20/2025
Norwich City FC,H,1-1,D,13,09/27/2025
Middlesbrough FC,A,0-0,D,14,09/30/2025
Blackburn Rovers FC,A,1-1,D,15,10/04/2025
Wrexham AFC,H,1-0,W,18,10/18/2025
Millwall FC,A,0-2,L,18,10/21/2025
Portsmouth FC,A,1-0,W,21,10/25/2025
Bristol City FC,H,5-1,W,24,11/01/2025
Oxford United FC,A,3-0,W,27,11/04/2025
Coventry City FC,H,0-1,L,27,11/08/2025
Leicester City FC,A,1-2,L,27,11/22/2025
Charlton Athletic FC,H,3-0,W,30,11/25/2025
Hull City AFC,H,1-2,L,30,11/29/2025
Sheffield United FC,A,0-4,L,30,12/06/2025
Ipswich Town FC,A,0-1,L,30,12/10/2025
Swansea City AFC,H,2-1,W,33,12/13/2025
Watford FC,A,0-1,L,33,12/20/2025
Preston North End FC,H,0-0,D,34,12/26/2025
Sheffield United FC,H,1-2,L,34,12/29/2025
Hull City AFC,A,1-0,W,37,01/01/2026
Norwich City FC,A,2-0,W,40,01/04/2026
Queens Park Rangers FC,H,None-None,,40,01/17/2026
Middlesbrough FC,H,None-None,,40,01/21/2026
Birmingham City FC,A,None-None,,40,01/24/2026
Southampton FC,H,None-None,,40,01/31/2026
West Bromwich Albion FC,A,None-None,,40,02/07/2026
Charlton Athletic FC,A,None-None,,40,02/14/2026
Leicester City FC,H,None-None,,40,02/21/2026
Oxford United FC,H,None-None,,40,02/25/2026
Coventry City FC,A,None-None,,40,02/28/2026
Swansea City AFC,A,None-None,,40,03/07/2026
Ipswich Town FC,H,None-None,,40,03/10/2026
Watford FC,H,None-None,,40,03/14/2026
Preston North End FC,A,None-None,,40,03/21/2026
Sheffield Wednesday FC,H,None-None,,40,04/03/2026
Derby County FC,A,None-None,,40,04/06/2026
Blackburn Rovers FC,H,None-None,,40,04/11/2026
Wrexham AFC,A,None-None,,40,04/18/2026
Millwall FC,H,None-None,,40,04/21/2026
Portsmouth FC,H,None-None,,40,04/25/2026
Bristol City FC,A,None-None,,40,05/02/2026
