OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Middlesbrough FC,A,0-1,L,0,08/09/2025
Sheffield United FC,H,1-0,W,3,08/16/2025
Watford FC,H,1-1,D,4,08/23/2025
Sheffield Wednesday FC,A,2-0,W,7,08/30/2025
Hull City AFC,H,2-2,D,8,09/13/2025
Birmingham City FC,A,0-1,L,8,09/20/2025
Millwall FC,H,1-1,D,9,09/27/2025
Blackburn Rovers FC,A,2-1,W,12,09/30/2025
Leicester City FC,H,1-3,L,12,10/04/2025
Southampton FC,A,0-0,D,13,10/18/2025
Queens Park Rangers FC,H,0-1,L,13,10/22/2025
Norwich City FC,H,2-1,W,16,10/25/2025
Charlton Athletic FC,A,1-1,D,17,11/01/2025
Preston North End FC,A,1-2,L,17,11/05/2025
Ipswich Town FC,H,1-4,L,17,11/08/2025
Bristol City FC,A,0-3,L,17,11/22/2025
Derby County FC,H,1-2,L,17,11/25/2025
West Bromwich Albion FC,A,2-3,L,17,11/29/2025
Oxford United FC,H,2-0,W,20,12/06/2025
Portsmouth FC,H,1-0,W,23,12/09/2025
Stoke City FC,A,1-2,L,23,12/13/2025
Wrexham AFC,H,2-1,W,26,12/19/2025
Coventry City FC,A,0-1,L,26,12/26/2025
Oxford United FC,A,1-0,W,29,12/29/2025
West Bromwich Albion FC,H,1-0,W,32,01/01/2026
Millwall FC,A,1-2,L,32,01/04/2026
Birmingham City FC,H,None-None,,32,01/17/2026
Blackburn Rovers FC,H,None-None,,32,01/20/2026
Hull City AFC,A,None-None,,32,01/24/2026
Watford FC,A,None-None,,32,01/31/2026
Sheffield Wednesday FC,H,None-None,,32,02/08/2026
Derby County FC,A,None-None,,32,02/14/2026
Bristol City FC,H,None-None,,32,02/21/2026
Preston North End FC,H,None-None,,32,02/24/2026
Ipswich Town FC,A,None-None,,32,02/28/2026
Stoke City FC,H,None-None,,32,03/07/2026
Portsmouth FC,A,None-None,,32,03/10/2026
Wrexham AFC,A,None-None,,32,03/14/2026
Coventry City FC,H,None-None,,32,03/21/2026
Sheffield United FC,A,None-None,,32,04/03/2026
Middlesbrough FC,H,None-None,,32,04/06/2026
Leicester City FC,A,None-None,,32,04/11/2026
Southampton FC,H,None-None,,32,04/18/2026
Queens Park Rangers FC,A,None-None,,32,04/21/2026
Norwich City FC,A,None-None,,32,04/25/2026
Charlton Athletic FC,H,None-None,,32,05/02/2026
