OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Charlton Athletic FC,A,0-1,L,0,08/09/2025
Queens Park Rangers FC,H,2-1,W,3,08/16/2025
Swansea City AFC,A,1-1,D,4,08/23/2025
Southampton FC,H,2-2,D,5,08/30/2025
Blackburn Rovers FC,H,0-1,L,5,09/13/2025
Millwall FC,A,0-1,L,5,09/22/2025
Hull City AFC,H,2-1,W,8,09/27/2025
Portsmouth FC,A,2-2,D,9,10/01/2025
Oxford United FC,H,2-1,W,12,10/04/2025
Sheffield United FC,A,0-1,L,12,10/18/2025
West Bromwich Albion FC,H,2-1,W,15,10/22/2025
Coventry City FC,A,1-3,L,15,10/25/2025
Middlesbrough FC,H,3-0,W,18,11/01/2025
Ipswich Town FC,A,1-1,D,19,11/04/2025
Bristol City FC,H,1-1,D,20,11/07/2025
Derby County FC,A,3-2,W,23,11/22/2025
Preston North End FC,H,1-1,D,24,11/25/2025
Birmingham City FC,A,1-2,L,24,12/01/2025
Norwich City FC,H,3-2,W,27,12/06/2025
Sheffield Wednesday FC,H,1-1,D,28,12/09/2025
Wrexham AFC,A,2-2,D,29,12/13/2025
Stoke City FC,H,1-0,W,32,12/20/2025
Leicester City FC,A,2-1,W,35,12/26/2025
Norwich City FC,A,1-0,W,38,12/29/2025
Birmingham City FC,H,3-0,W,41,01/01/2026
Hull City AFC,A,0-0,,41,01/04/2026
Millwall FC,H,None-None,,41,01/17/2026
Portsmouth FC,H,None-None,,41,01/21/2026
Blackburn Rovers FC,A,None-None,,41,01/24/2026
Swansea City AFC,H,None-None,,41,01/31/2026
Southampton FC,A,None-None,,41,02/07/2026
Preston North End FC,A,None-None,,41,02/14/2026
Derby County FC,H,None-None,,41,02/21/2026
Ipswich Town FC,H,None-None,,41,02/24/2026
Bristol City FC,A,None-None,,41,02/27/2026
Wrexham AFC,H,None-None,,41,03/07/2026
Sheffield Wednesday FC,A,None-None,,41,03/10/2026
Stoke City FC,A,None-None,,41,03/14/2026
Leicester City FC,H,None-None,,41,03/21/2026
Queens Park Rangers FC,A,None-None,,41,04/03/2026
Charlton Athletic FC,H,None-None,,41,04/06/2026
Oxford United FC,A,None-None,,41,04/11/2026
Sheffield United FC,H,None-None,,41,04/18/2026
West Bromwich Albion FC,A,None-None,,41,04/21/2026
Middlesbrough FC,A,None-None,,41,04/25/2026
Coventry City FC,H,None-None,,41,05/02/2026
