OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Blackburn Rovers FC,H,1-0,W,3,08/09/2025
Wrexham AFC,A,3-2,W,6,08/16/2025
Portsmouth FC,H,1-1,D,7,08/23/2025
Stoke City FC,A,1-0,W,10,08/30/2025
Derby County FC,H,0-1,L,10,09/13/2025
Middlesbrough FC,A,1-2,L,10,09/19/2025
Leicester City FC,H,1-1,D,11,09/26/2025
Norwich City FC,A,1-0,W,14,10/01/2025
Millwall FC,A,0-3,L,14,10/04/2025
Preston North End FC,H,2-1,W,17,10/18/2025
Watford FC,A,1-2,L,17,10/22/2025
Ipswich Town FC,A,0-1,L,17,10/25/2025
Sheffield Wednesday FC,H,0-0,D,18,11/01/2025
Charlton Athletic FC,A,0-1,L,18,11/04/2025
Oxford United FC,H,2-1,W,21,11/08/2025
Coventry City FC,A,2-3,L,21,11/22/2025
Birmingham City FC,H,1-1,D,22,11/26/2025
Swansea City AFC,H,3-2,W,25,11/29/2025
Queens Park Rangers FC,A,1-3,L,25,12/06/2025
Southampton FC,A,2-3,L,25,12/09/2025
Sheffield United FC,H,2-0,W,28,12/12/2025
Hull City AFC,A,0-1,L,28,12/20/2025
Bristol City FC,H,1-2,L,28,12/26/2025
Queens Park Rangers FC,H,2-1,W,31,12/29/2025
Swansea City AFC,A,0-1,L,31,01/01/2026
Leicester City FC,A,1-2,L,31,01/05/2026
Middlesbrough FC,H,None-None,,31,01/16/2026
Norwich City FC,H,None-None,,31,01/20/2026
Derby County FC,A,None-None,,31,01/23/2026
Portsmouth FC,A,None-None,,31,01/31/2026
Stoke City FC,H,None-None,,31,02/07/2026
Birmingham City FC,A,None-None,,31,02/14/2026
Coventry City FC,H,None-None,,31,02/21/2026
Charlton Athletic FC,H,None-None,,31,02/24/2026
Oxford United FC,A,None-None,,31,02/28/2026
Sheffield United FC,A,None-None,,31,03/07/2026
Southampton FC,H,None-None,,31,03/11/2026
Hull City AFC,H,None-None,,31,03/14/2026
Bristol City FC,A,None-None,,31,03/21/2026
Wrexham AFC,H,None-None,,31,04/03/2026
Blackburn Rovers FC,A,None-None,,31,04/06/2026
Millwall FC,H,None-None,,31,04/11/2026
Preston North End FC,A,None-None,,31,04/18/2026
Watford FC,H,None-None,,31,04/21/2026
Ipswich Town FC,H,None-None,,31,04/25/2026
Sheffield Wednesday FC,A,None-None,,31,05/02/2026
