OPPONENT,H/A,SCORE,RESULT,PTS,DATE
Southampton FC,A,1-2,L,0,08/09/2025
West Bromwich Albion FC,H,2-3,L,0,08/16/2025
Sheffield Wednesday FC,H,2-2,D,1,08/23/2025
Millwall FC,A,2-0,W,4,08/30/2025
Queens Park Rangers FC,H,1-3,L,4,09/13/2025
Norwich City FC,A,3-2,W,7,09/20/2025
Derby County FC,H,1-1,D,8,09/27/2025
Leicester City FC,A,1-1,D,9,09/30/2025
Birmingham City FC,H,1-1,D,10,10/03/2025
Stoke City FC,A,0-1,L,10,10/18/2025
Oxford United FC,H,1-0,W,13,10/22/2025
Middlesbrough FC,A,1-1,D,14,10/25/2025
Coventry City FC,H,3-2,W,17,10/31/2025
Portsmouth FC,A,0-0,D,18,11/05/2025
Charlton Athletic FC,H,1-0,W,21,11/08/2025
Ipswich Town FC,A,0-0,D,22,11/22/2025
Bristol City FC,H,2-0,W,25,11/26/2025
Blackburn Rovers FC,H,1-1,D,26,11/29/2025
Preston North End FC,A,1-1,D,27,12/06/2025
Hull City AFC,A,0-2,L,27,12/10/2025
Watford FC,H,2-2,D,28,12/13/2025
Swansea City AFC,A,1-2,L,28,12/19/2025
Sheffield United FC,H,5-3,W,31,12/26/2025
Preston North End FC,H,2-1,W,34,12/29/2025
Blackburn Rovers FC,A,2-0,W,37,01/01/2026
Derby County FC,A,2-1,W,40,01/04/2026
Norwich City FC,H,None-None,,40,01/17/2026
Leicester City FC,H,None-None,,40,01/20/2026
Queens Park Rangers FC,A,None-None,,40,01/24/2026
Sheffield Wednesday FC,A,None-None,,40,01/31/2026
Millwall FC,H,None-None,,40,02/07/2026
Bristol City FC,A,None-None,,40,02/13/2026
Ipswich Town FC,H,None-None,,40,02/21/2026
Portsmouth FC,H,None-None,,40,02/24/2026
Charlton Athletic FC,A,None-None,,40,02/28/2026
Watford FC,A,None-None,,40,03/07/2026
Hull City AFC,H,None-None,,40,03/10/2026
Swansea City AFC,H,None-None,,40,03/14/2026
Sheffield United FC,A,None-None,,40,03/21/2026
West Bromwich Albion FC,A,None-None,,40,04/03/2026
Southampton FC,H,None-None,,40,04/06/2026
Birmingham City FC,A,None-None,,40,04/11/2026
Stoke City FC,H,None-None,,40,04/18/2026
Oxford United FC,A,None-None,,40,04/21/2026
Coventry City FC,A,None-None,,40,04/25/2026
Middlesbrough FC,H,None-None,,40,05/02/2026
